case_id,gender,age,height_cm,weight_kg,bodyfat_percent,activity_level,goal_type,goal_delta_kg,goal_time_weeks,plan_id
eb164488-0af8-49a9-b527-7dc6b1020984,female,30,189,90.4,14.9,2,gain,3,10,21c66c68-e090-4c9c-9166-cb9dd6c8c90c
cfeabd5a-7e38-4e3c-8d36-cbd676f8551c,male,43,186,56.2,26.4,3,lose,-5,9,e235de23-a197-42fe-a5b5-acba5a76b7d0
01401c55-455a-4c27-9ebf-2d5e99087d2f,female,26,174,70.8,21.5,3,maintain,0,4,f102930d-521b-4eb1-a86a-b5843c1eb4de
42f9a690-d54c-45d8-b3cd-4d65d2da5768,female,47,198,74.0,11.4,2,gain,5,13,a6b3bae5-035a-4695-854b-6d3ca5d2dd13
147a33c2-7948-48a4-83bb-554f44f6cd13,female,35,161,50.0,19.2,3,lose,-2,7,6fde3a79-9ec5-47d0-b627-06829385718d
eb321739-470e-40cf-97e3-254571a4a58e,male,37,179,102.4,28.8,4,lose,-7,9,4e40c88c-c535-4cb5-ba5f-8e851f36b583
c50ff9fc-3f1c-4052-815c-041fdd7c86d6,male,54,154,59.0,29.3,3,lose,-3,14,339b39b3-c09e-4f26-8d10-e675af941728
f5260933-baa5-4218-a930-e420d9357f35,male,44,176,101.3,16.9,4,maintain,0,11,315be9ec-65f4-4491-a9a8-a108edf9edd2
7465b2bf-ce76-43d1-bbb1-0faaef864423,male,30,150,68.8,17.8,5,maintain,0,14,d1b54fe0-7488-4a04-83b7-ac246f8cdb50
4ac046d5-385b-447f-826c-57cc832b5521,male,55,154,100.2,20.7,2,maintain,0,12,dcd0255d-a90c-4cb5-b0f1-f4daaae768e4
c6a11b17-ad09-4173-ae89-4c409e8ebee9,male,55,155,54.1,10.5,2,lose,-2,8,3956070d-4245-48ae-88f7-bec1dc00dd06
13a4f6cd-2ad2-4d13-8237-3e88cc62ef8b,female,21,187,91.1,25.1,2,maintain,0,4,3442f6bf-bbf6-4be6-b59c-e5cb0bcc018f
25975a2f-5b00-491f-9948-f02e42287318,male,22,184,61.3,29.8,2,maintain,0,8,b0f936e6-1d46-4d2c-a1ca-c251144258e4
6d4a7b16-5bc8-4a45-80d2-7f8ce6f54cd9,male,58,157,77.8,19.6,1,lose,-6,9,1610ad1e-44b0-49cb-85ca-8928ad78fe3a
f528e003-aa4d-4d76-a857-b202dd820755,female,56,164,66.5,22.5,5,gain,3,7,ad627d34-1878-4030-8bbb-a95ee260c004
a380efae-e8e5-4a57-b2c2-8eb570d76987,male,45,156,86.0,23.9,3,gain,2,8,20c97667-d89a-47ad-a221-5e47def160f8
4bbab39e-6b05-4e3b-b968-49f040fbcf0f,female,32,166,56.8,18.2,1,lose,-2,14,bc3ef8f8-998e-414a-8567-f002bd343507
7a65d67a-d342-4dd0-8893-e94eadd4ac15,female,45,179,64.1,0.0,2,lose,-6,16,4230c8c0-2977-4644-bcff-61bea16b8b79
62079ed9-25cb-4513-b197-2ab8a1f988bb,female,20,198,74.1,27.6,2,gain,7,11,6297f35a-75e0-4e44-85aa-d1fa3404187b
de85bc5a-7308-4e00-a5de-9db9a7850c5a,female,29,172,69.5,13.3,3,lose,-4,6,dbc0215b-c82b-48a6-b6cf-1a7a6d669788
f9d96cb9-89a7-4ef9-9630-d86df235b3f8,male,24,170,51.7,13.6,3,gain,6,6,1334d27b-0a98-4ef0-ba9f-1827e05fa5de
394099a0-c66c-452d-a80a-498b74e17881,female,26,187,88.3,11.3,4,gain,3,4,6b9b07b2-7d46-4a51-a57c-774df6f3921b
910d8ac9-208b-4565-9a41-daebe93d977a,male,55,152,96.0,17.9,5,gain,5,13,fcfd3d0d-b410-40fc-9e07-6136082a15f6
ab038013-95dc-478a-8123-508fea5fdc8b,male,55,156,63.9,26.6,3,maintain,0,7,a03ac1e3-f64f-4ea4-b5ad-8044952c9730
b9056a55-1acf-4996-82b6-8719a55ceea8,female,58,163,56.8,25.1,2,maintain,0,10,8b841158-3e99-4e29-8168-1fd703094ba1
721f4aca-2634-4672-9b79-a3c33fecd0e6,female,57,187,64.8,17.5,5,lose,-8,12,84b20e6e-6bb7-4e4b-badb-bb03c7aba21d
aa214c4c-4175-479a-a578-75d684095202,female,46,193,64.6,18.9,1,gain,7,6,a163a566-d7e0-447f-a727-f43b5f4acafb
a0cdb569-ae14-4be3-8f6f-cdb0cedffc53,female,33,157,74.3,15.8,4,gain,2,8,a0bb3983-dff4-47ee-be6a-3f581b6181d8
7ce43b45-eb2d-4b22-9e3b-fe25c60c2bac,female,36,181,61.5,0.0,1,lose,-6,6,b5ef2228-45ff-4137-9541-d271f41658d3
75cba5fb-c118-4b29-bc4b-cceef3a5e6cd,female,42,171,99.9,16.0,1,lose,-7,7,0cdb5cf8-2ebc-4211-b053-3b889bc8f175
9b1fdccc-b7f6-4b8e-a24e-e45f962b6fe7,female,36,151,90.0,16.7,2,gain,5,16,790ebbd8-3f44-45f0-9d6c-dfd1a16abe76
2e64922d-3816-4258-baa0-77ce16c2c392,female,26,190,63.6,10.9,5,gain,8,15,d905beb4-5381-40e9-bcd9-f8bc84265fe8
161eb7b1-ed90-4497-be60-89e5d0e1cc61,male,34,152,87.7,29.1,4,lose,-4,6,6e831994-01a4-49e1-90b5-82ccc55a8218
fd5b108c-33ac-4fab-95ca-71f1c90c857b,male,33,171,103.5,21.6,4,lose,-4,14,acd76f77-b5ba-43a7-a36a-1deb400d3769
6f629606-a74c-4917-a49b-a96b2b2d10f9,female,49,164,57.3,0.0,1,lose,-7,10,053038c8-5a83-44f9-a679-6e6b32d99f7e
c6930cf3-4d51-4ab4-938d-35f5cd0c603c,male,39,163,65.1,27.4,4,lose,-8,16,3cb7fcb9-e4d5-4e9d-b641-e5bb46c01b6e
e159cb1b-977a-48ee-9f98-887ed2c83f09,male,29,174,100.2,12.9,3,maintain,0,14,3b1acd3f-c0ff-4a3c-b43e-128f7c05941f
3342c167-bde1-4912-a117-8ee5a28bb3a8,female,45,183,56.9,15.2,2,maintain,0,11,324805e9-ee8e-4e74-bf1b-4eb94f7c15a9
644420b5-107b-452f-af7a-d830c42c4da9,female,59,184,69.9,25.3,3,maintain,0,12,72084747-42d5-4075-95c2-28eb1119c751
2aae0098-5224-4d51-819c-3edc5f1b9d1b,female,47,175,62.1,20.6,4,gain,8,4,ea3da898-ad35-4282-87d9-87a333546346
aa06667f-19dd-4ab6-b954-8aa002770960,male,54,185,81.0,20.7,3,lose,-4,9,ace44f69-ebcb-4dc5-ac21-667d93426cd7
13d198d9-b508-4dde-84a9-4a4ee9beed30,female,37,178,65.8,12.0,3,gain,2,6,8cfaaa46-d4fd-46c3-8926-c707183c3cf8
7f75dbad-d68a-41ab-b4eb-d31e5a605d36,female,49,160,65.1,19.8,1,lose,-5,5,25b89d34-9782-4cb4-90ba-75dd02344ba8
cc610fe1-3e6e-4159-977c-513a7138e2df,female,57,177,109.8,27.1,5,lose,-4,9,28e915ae-6aa7-4d5c-b167-09595272292f
9573e5dd-9d83-4d27-bdbe-d1a5756af096,female,53,195,70.6,0.0,2,gain,3,12,5c4aaba1-288b-472f-ab0c-0f8273b07edd
5f43a2a5-40f8-4936-a506-77c9867d5dbe,male,19,159,97.3,22.9,1,maintain,0,15,7f972653-985a-480a-bb47-7a975ba9d8d9
2c300112-c764-4da2-8c20-16fc1eb0d7d4,female,27,170,106.3,29.1,4,gain,3,16,9303c48c-439d-4b42-930a-f134b9def72f
6865cb6d-c15e-4b2b-8c30-386dfa81687b,female,36,155,94.7,17.7,5,maintain,0,10,db9f2e1f-dde0-4285-91f5-372fdc5cce59
328d5c3b-f226-4295-93e3-d290bedfdf02,male,30,154,54.5,17.5,1,maintain,0,15,99bfa648-3d01-48ef-bf9b-94194e5a06d6
6bc3af1d-46eb-42f8-99ac-245b396a08ed,female,46,164,68.4,15.5,2,lose,-7,16,485a2c42-a3c4-420d-8e25-50c34f345f2b
29d544be-ee69-40ec-bde3-c2bf4ef38843,male,47,187,104.3,11.5,4,gain,6,16,d994777d-9e22-446d-bd9e-a84c901cfc4a
b78e8222-2a19-4435-a16e-da2d7f18c4c6,male,46,153,63.8,28.7,4,lose,-7,11,59e6aef0-0f0f-423c-9d06-85475df7efac
1d429e4d-21bb-4a5b-b703-af79ec0a9f20,male,46,191,102.6,17.7,5,maintain,0,14,311471aa-a340-4f2f-b479-d9ec1fcb876b
328f9057-df8b-454f-947a-4356e7a37fe2,female,52,174,86.9,11.2,5,lose,-5,16,2c25817a-8662-4628-9dc2-56d010e74d2f
7a7fb9da-f049-424b-9d48-715da42937d6,male,25,189,89.4,0.0,3,lose,-7,5,561c17c6-3d82-4052-89de-a8c6268490a1
8ce5773e-a7fc-48ea-9edb-427b2c3ef37e,female,18,184,68.7,27.3,2,lose,-8,5,ce92e7ca-a3f4-46f5-be9e-9ad064debe92
35df0eed-51db-42ed-ade1-2d961efe4a21,male,32,192,79.5,27.4,3,maintain,0,6,bcf0364f-838e-4569-b546-2f31e5ed6432
9f6635ea-ba55-446d-89fc-b20f76bcf0b0,female,60,151,102.6,16.1,4,lose,-3,16,797ef7ed-02bd-4f30-9f79-546a08f3f479
c8ee4655-4b3e-4d15-ac92-a302fcd3d5ff,male,46,153,82.7,19.0,3,maintain,0,12,360bf8f9-d25a-43f5-854f-8f0ae00046a5
151bcd69-ee28-4e73-9f48-b24e9e251bb4,male,45,173,80.4,25.9,2,gain,4,7,3b384997-6baa-434a-9992-37814d2d6a05
44134552-6676-43a3-a427-bac49d3a0f7f,female,42,162,78.7,15.5,3,lose,-6,11,1450dc91-3087-425f-8e41-0f832c3e4289
d761673b-a939-4c6c-ab93-b3b769f1f99b,female,18,187,101.7,0.0,5,maintain,0,12,9919b2f4-3744-4c37-8dc6-55429e26a9c4
eaeedfad-3e85-476f-8898-164a98b18f25,male,35,167,66.7,20.6,4,maintain,0,4,093536b4-5705-4bac-9b40-3f8118b28594
0061858f-539d-4a50-b486-35ff8bdc0de8,female,26,177,56.3,0.0,1,lose,-7,4,b783af31-40ba-4949-b9bd-10ad7d833e8e
ef385645-1100-4f6b-b5fc-52b659abf4a1,male,44,185,62.5,11.3,2,maintain,0,14,acc98aec-ec86-4c8c-bf3d-ccc86e7e1761
ba335995-e4bd-41bf-ab48-7aa873bab930,male,27,195,62.3,29.2,1,lose,-3,5,1abbff6c-f153-4b16-81d7-0dc82809f8d5
a203b070-34eb-4383-9362-1bf5478482b5,female,34,193,71.7,26.3,3,gain,6,5,4d56397d-84ab-4310-b495-1580b6131e3b
b782146e-2003-42e7-a69d-2d08bdd0d5ce,female,29,172,67.1,27.3,2,gain,6,11,727ed912-2961-4964-845b-ec1254a0a3f8
c6ccd33a-beb0-4d8f-a7f5-e4012903bca9,male,56,197,109.8,0.0,2,maintain,0,11,10391ffd-ae90-48dd-b119-703d480cff3d
b41a6542-3662-4975-b4e0-cd00f1fb4cc3,female,38,189,90.7,28.8,3,gain,6,14,287bf73c-20de-43b1-be87-e4124fe53cb3
bac594f4-9027-4969-8417-c68999871b2f,male,48,154,59.9,19.3,3,gain,5,5,0000ad64-33b8-4602-b8e6-147627904a05
60cd495f-781f-44e9-8fa9-7f12d004d829,male,54,170,102.9,24.8,2,gain,2,14,34d02750-c292-42cd-970f-ab7eb6dd5c5a
ecc8b289-5edf-4941-9fd2-9b40eb3f426b,female,53,186,64.4,28.1,3,lose,-2,4,55bd4d1d-3bc4-4230-9bd6-cc2ec95a4000
fac02b63-4289-4563-8e3f-7c90e719336c,male,30,184,67.1,23.4,1,gain,3,16,e23dcdfd-d9a3-4e7a-a0f8-f639e99245ab
056387e9-5225-48a2-a7c6-697a4b7ddc23,male,59,161,78.3,29.7,2,lose,-2,5,0aa5813c-5ffb-4983-bb18-c5f106d112f3
0fb0208d-507b-498a-b05d-eae7500e179a,female,58,174,92.0,26.9,4,gain,6,7,6e7b78e1-db85-4754-bb3e-4ce5784e4d8a
34db3935-ecd0-4070-b2c3-9554f58b8b8f,male,59,182,92.6,14.3,2,gain,4,4,4d8cc564-f3a9-42e3-b20e-1a1d63b01421
e6ec0a2e-232e-4146-afe9-77eafc27a499,female,50,150,65.1,0.0,1,maintain,0,14,bc820a1f-2916-4a6c-b6a0-0345dc6ec7b2
62a0441a-5ff7-4a6c-a94e-cfc504d3f34e,male,50,189,65.8,11.5,1,lose,-4,14,21667abc-b3b3-4180-be26-1140719c5e4b
52ee68db-1bbf-4f03-914f-72c733262fcf,male,27,153,58.9,10.2,4,gain,2,9,4d8cac99-981e-4d07-abeb-e0da614984f5
ec654e49-7fc5-4836-ba14-735ead00ab8b,female,23,184,58.6,27.0,3,maintain,0,14,c695081b-2ed4-4e4e-9eae-eb7a1310c196
4ab40287-913d-4117-915b-d590349a4cb7,male,38,173,53.7,17.8,3,lose,-3,12,af5b8b85-2308-4ab9-ae34-f505487f2601
ec9497c6-31eb-4360-b69f-a48c244c1b7e,female,32,185,55.4,25.0,1,lose,-3,5,4cb0b621-dea0-45f3-95b4-2755ab95e28a
39346fe4-05ec-4811-80c9-bdc8c4867261,male,26,196,53.0,24.9,2,maintain,0,13,feee6ece-e39b-447b-b9de-1fec5a8de94a
4c736a65-b2dc-45fb-a765-be76d1cf61df,female,27,198,105.1,16.5,2,gain,2,11,c8a40663-d32a-4031-b5b7-f1768927e8a6
305c7ce0-199a-4729-b5af-ddb733fbc98a,male,53,195,82.9,23.0,2,lose,-2,16,d52a529b-8f9c-47e4-bd8b-75aee4221941
92258296-272d-4c72-8e81-76e85960556d,male,34,155,77.0,14.8,3,maintain,0,8,b93e9b84-36df-45c0-8219-b552d1618dd5
ca4ceb01-685a-48f9-afec-277e601cb109,female,50,169,93.4,0.0,2,gain,7,13,b2d40a3e-46f9-4c3a-9ad4-d02c9ac2e7de
15c36492-e2ce-4063-8dbf-684c976395f0,male,23,153,90.6,22.5,3,maintain,0,4,18a0413f-916f-4288-9119-a8d002ac2b9b
9edc7000-fa23-4e4d-a653-33b340bed775,female,54,190,72.5,21.0,4,maintain,0,12,30952830-f455-4db4-9e51-fbb0a777d8c8
186423ac-19d1-46c3-b1c3-f194d5e974e5,male,56,189,51.8,12.4,4,lose,-5,5,24901dfc-a308-4951-b7d2-f620d3ce99d1
e9ff71b0-9c0d-4bdd-aaad-8e2dfc00eab4,female,33,194,104.1,18.3,4,maintain,0,5,43e9808b-ba9d-40f0-a23a-bc3b1e829dfc
d708b2b5-5f10-4cc3-9bbd-343cc02b989d,male,47,175,57.3,13.1,1,maintain,0,14,59f993f3-f75b-482e-80d1-4f6714c02d78
e2c7d913-a52a-4be8-9e85-f9c8e89e6963,female,50,151,70.9,29.2,1,lose,-3,5,bbb6ec3f-2c90-4099-bd69-ec2bf1607661
9e00fc5b-086f-4a12-b086-ef886f831116,male,56,200,76.0,12.1,2,maintain,0,13,6298e5d0-7901-4179-8091-8e6db5b973a7
3c8fd96e-5655-4963-ad42-f5761930c187,female,35,176,63.0,19.8,4,gain,5,16,1ef34bdf-8f56-4db5-becc-289077d0272c
53f3d048-85e3-4cf4-a8b5-5bcc8ca4addb,female,51,183,72.3,0.0,3,lose,-3,6,2b1318f8-e5cf-43df-b1d2-687af09afcf5
027f419f-c4f3-47f2-9968-dbeeb729c169,female,28,163,82.1,0.0,2,maintain,0,15,b61c2c18-d0e1-4c0f-bc57-f1999f29ef16
b0198817-5f5a-48fb-b8ea-9d90ecd8c836,female,49,156,65.2,25.2,5,gain,3,5,e57d5461-bc70-423a-8c3f-616bfbef661f
5b2cb4fe-feed-4102-98c6-5f13d15d0443,male,54,178,105.4,13.6,2,lose,-2,4,678e63b4-d336-45f6-8211-3d923646794c
87be1a01-28e3-4155-a7d1-c921f7264020,male,34,176,57.6,20.1,2,gain,8,14,5856b76c-bc17-497a-8d59-4c07392111dd
4cc19900-8028-4ab8-822b-cad09b396b26,female,24,180,68.9,13.5,3,lose,-5,10,7023f2ac-41bf-41b5-9c17-4eeaa7c6d5c4
7e073eca-8e5f-462b-a6ac-e8544f2dff09,male,50,194,99.5,12.9,1,gain,7,12,c787022b-df59-46e8-9b5d-3dd36813ff1e
dacdf0c1-1434-4d56-b7c5-87659e288643,male,42,161,52.7,0.0,5,lose,-4,16,32c27df8-f6c2-4035-86b0-09829584c062
d9211969-ae80-44d1-9194-b0b717c6482c,female,28,200,106.6,17.0,5,lose,-5,12,42a70ea7-e741-4595-b53f-963989ba18f2
6a5b3aee-23f6-4f85-bd34-4be3a39426f6,male,36,196,109.2,24.5,4,maintain,0,12,fd1251fa-ebe9-4913-bae5-439e3f8d5305
4bd8f842-d6fe-4c68-aeaf-ab85b6d5baec,male,48,162,57.1,28.3,4,gain,8,5,be873b18-92ad-47e0-b0bf-e51beb8251ce
cee0c076-4bfb-46f7-af7c-1e51aa2856fe,male,44,166,101.2,16.2,1,maintain,0,15,e67a02d9-b07c-44db-9990-3a3fbd486331
a1dd594b-f051-4ac8-999a-455d8682e84d,female,47,198,105.4,21.9,5,maintain,0,6,8aee0ada-af15-4120-8619-262770fa6b6f
da54ffda-6862-4ee9-aa18-917a87d926de,female,31,197,101.8,22.2,3,lose,-8,8,b1d1e3c7-4309-4833-9867-86c2f1d3489b
73adc593-90e3-42de-8f6d-6dfbc962f1e2,male,23,194,66.5,22.9,2,gain,2,4,4a53fc35-82e6-4a5f-972a-cfc7923a7204
e6b383f4-a895-47ad-b5e0-95551dfaa7c3,male,18,154,107.2,23.5,5,lose,-6,10,451a5d92-5a21-424c-b3b2-a3ea585d1944
7d179426-b760-48b1-9be7-568d22347c44,female,53,188,72.4,13.6,1,gain,5,9,18819a50-b0fe-43f9-8de0-64d7b9a3ba97
449bc44d-eb38-4062-a6b6-b513430a40c9,female,26,172,103.7,19.3,2,gain,7,15,8c5c1621-b35f-4c22-a624-42d2b9359d0a
08ca066f-f584-4d37-8b5a-c258beb7ac13,male,40,164,87.5,27.9,4,gain,8,5,e54edcec-b580-4b18-8e70-00a48a135e37
6551b65c-798c-43a2-b6a6-6d5dc07a6601,male,23,175,99.2,0.0,4,gain,6,13,f3c9f91c-596f-426b-a205-273053948a4c
da823ceb-0823-4e25-99fd-e1030da36fea,female,44,154,82.6,29.9,3,lose,-7,11,a339ebdd-e5f0-4e5b-8c3e-69ba5d4e5e44
558af75d-1564-4ac0-9aee-38aba7c6a5d0,male,37,185,50.5,23.3,5,maintain,0,16,84a95814-224b-42ee-9b55-d0174da9975f
b4e0d114-81b4-4934-bedc-4c274e8db974,female,36,179,51.1,20.1,4,maintain,0,12,54716cc6-0b0d-4415-8e5e-b019b40fb964
d79bb2c9-502a-4485-85c0-1c0fb0494d0b,female,41,151,51.3,14.4,3,gain,4,15,62f9ffe2-61a1-4409-a8ef-a6c2b7368a09
acd50936-48e9-4311-82fb-ba6665b5b97e,female,18,185,105.4,11.8,5,lose,-5,7,b6698d9a-37ab-4945-a12d-614be99adb25
fedcbe08-23ce-4bec-9dfa-bc0a7412c8a9,male,44,172,63.8,26.1,5,gain,6,10,2ab751ef-d7ee-4960-9466-e699f4bbf45d
def78e22-ded5-4cf2-ae04-3681da154290,female,21,185,60.3,24.8,1,gain,3,11,17eceb1e-e154-4603-8ea6-97243bb984dd
e0092926-c947-445d-86f0-f458c51397d6,female,55,162,65.4,0.0,5,lose,-2,4,a0ca3bc4-c622-4577-a87c-545526247c6a
bbca9efb-91e2-4756-8835-3ef3df7aac42,female,38,151,52.8,27.3,3,lose,-5,13,f04ec8aa-e0bf-476c-827c-1290fc176beb
d05a5e56-5992-4a62-88ea-7b6213304842,female,51,180,96.7,24.5,4,maintain,0,13,e08f6dd5-907a-4fcf-ba5a-736ae3780785
9e213298-2ce4-49f0-91bc-2cd1ac44c37b,female,48,171,52.5,29.7,1,lose,-7,12,48c0e538-fff5-4edd-a5ba-857dbddaa631
f7c178f6-9d3c-4b93-877d-981136f026c4,female,31,162,104.1,19.7,2,lose,-6,5,d84dd2e1-1d7e-40e5-bac2-a524861a1cc3
e2101bf6-2f8d-425b-9984-0ce20e85af0e,male,39,158,66.0,0.0,2,maintain,0,15,cc94ef3b-bc44-427c-b440-878d41bdfb7e
0ee5b652-10ce-4f7c-8aed-5f5e1f1841d5,female,28,189,91.9,10.9,1,maintain,0,15,f77f8166-066d-4610-8c7c-c16783864593
3e18ee4e-06b7-4188-824c-ee5e5d4dd484,male,41,187,99.3,11.1,3,gain,5,15,cea35f62-154f-497e-9438-0f316f35789c
4c774072-6738-4451-afef-985c6ab8bfb8,male,43,196,80.5,20.1,3,maintain,0,8,3ae79e43-5cde-4e7e-82c4-043272494c39
a79a3570-1156-4884-b27b-8887d4d82b95,male,43,158,98.7,11.5,2,maintain,0,10,1f240d34-af0b-4673-8714-010a0297a9d6
9d36c54c-14d8-402b-8fe4-8b87ce61c21d,male,44,159,58.4,0.0,5,gain,4,11,8f7b69a8-c72f-4dae-99b9-641e39c4805f
b077dca0-0082-481f-8799-77d818e91333,male,47,150,65.6,23.4,2,maintain,0,16,b99d6f8d-3a51-4102-96ba-99ca514d5445
33e6aa58-cba5-4a1d-9f7e-c9e449baf554,male,53,183,73.4,21.6,4,maintain,0,11,a722c3e5-3917-43fa-9b0c-fa0f8d758c06
72d0658a-1639-4e62-935e-698290da7da8,male,32,171,89.6,22.2,1,lose,-3,12,8084f905-1f4f-4e3e-b69a-1b4477301d8d
db15cb79-5365-400a-8111-6d83b3d2dbb9,male,46,171,87.5,24.9,3,gain,7,4,72c0c4a2-c45e-4731-abf6-2db30beca436
e507dbda-73b0-4a45-a6d5-f858acb123d9,female,40,188,88.5,29.0,5,gain,3,16,583c0f4c-1ff4-4ca9-898b-d88645ec8bc0
76db1732-b907-4c9a-bff3-2cb287f0e062,female,38,183,108.6,16.9,5,gain,4,14,235971db-6693-42fb-95e3-7c701197e5de
f399a1f6-e663-4ca0-9b33-e1cb65172650,female,30,200,106.3,18.4,4,lose,-4,12,5902979d-0da0-4da3-a855-b678ccb632e5
8e8b765b-9e76-4d4f-9207-270f8bde6b0d,male,38,157,59.2,13.3,1,gain,4,9,a854d4ea-6f6b-4987-8b7f-3e6861fee08d
ca31ba6c-2a53-4165-afb9-0588ee90666b,male,59,154,58.0,17.9,2,lose,-5,14,4fa33c93-39a0-46f8-9af7-7242130499cf
1b538161-b71b-414e-a2bf-f789b5eec68b,female,33,188,106.0,11.1,3,lose,-2,15,fb8d2515-0814-4094-9cb4-829e608d7a42
ad57b98d-c171-42f3-8c07-204ed9b93b0f,male,50,188,77.1,11.1,3,gain,5,13,785bfd8f-7b92-46e6-9d80-e642d9e98019
9cc677c1-51ab-4225-81fb-85ab05c5ae94,female,50,177,71.6,0.0,4,maintain,0,13,65921666-37eb-4542-b432-6dd484b3c891
4fabe4c5-77bf-41aa-94c3-933ba6581650,male,37,156,67.8,15.2,3,maintain,0,14,71bb5558-9480-4555-93fc-2e8527262889
d98ccd2a-7825-4f73-83db-500bf08ddae5,male,47,179,79.1,10.7,1,lose,-2,9,82878c26-c42a-4edc-97c1-f58c00371975
6ea4c3a4-7642-426b-9b34-6a597e16cb60,male,27,166,102.4,14.9,4,lose,-2,13,c3089d6e-81c8-4719-a2fa-08b9cac482c7
8549c9d5-15a9-49f1-b92c-05153fda4fde,female,32,173,73.4,15.4,1,lose,-6,12,9c862b68-b6b1-4d6c-9625-f8e7dfa26f42
