calories_kcal,protein_g,carbs_g,fat_g,meals_per_day,snacks_per_day
3076.51,235.3,315.8,96.9,4,1
2816.22,171.2,383.8,66.2,4,1
2655.17,157.3,319.7,83.0,5,2
2239.98,178.0,215.5,74.0,4,1
3676.02,167.0,549.8,89.9,5,1
2611.53,122.5,397.3,59.2,5,1
1323.12,118.2,101.8,49.2,4,1
2155.24,112.7,306.5,53.2,4,2
1269.83,144.9,55.4,52.1,4,1
2722.68,135.6,371.0,77.3,5,1
2360.57,117.9,350.8,54.0,5,2
2824.59,195.8,308.2,89.8,4,1
3154.58,156.7,427.3,91.0,6,2
2679.9,98.7,446.0,55.7,5,1
3179.96,179.6,366.4,110.6,6,2
1699.0,133.5,169.8,54.0,4,1
2160.25,121.6,249.7,75.0,5,2
1714.87,175.0,91.0,72.3,4,1
3559.06,154.5,505.3,102.2,6,2
3289.69,162.1,463.9,87.3,5,2
1413.0,116.2,97.9,61.9,4,1
1562.72,134.1,137.0,53.2,4,1
2934.01,116.9,475.6,62.6,5,1
2005.71,107.7,278.6,51.2,4,1
1641.08,110.1,194.0,47.2,4,1
1216.78,117.2,86.8,44.5,4,1
1690.9,88.8,215.8,52.5,4,2
3471.18,198.1,429.3,106.8,6,2
1923.67,172.5,127.6,80.4,4,1
2769.92,146.0,403.8,63.4,4,1
2484.47,164.3,220.0,105.2,5,2
2924.3,182.6,362.2,82.8,4,2
2772.32,124.5,424.0,64.3,4,1
1863.19,122.3,227.7,51.5,4,1
3807.2,228.6,492.4,102.6,4,1
1734.65,124.6,197.2,49.7,4,1
1396.09,165.2,31.5,67.7,4,1
2492.83,161.8,312.5,66.2,4,1
2970.85,109.1,498.7,60.0,6,2
1798.93,162.6,128.5,70.5,4,1
2115.78,163.0,184.0,80.9,5,1
3161.5,112.0,529.5,66.2,5,2
2570.72,223.0,197.5,98.7,4,1
2337.62,114.8,318.7,67.1,6,2
2055.09,153.7,230.5,57.6,4,1
3156.34,192.9,332.6,117.1,5,2
2018.94,107.9,280.6,51.6,4,1
3467.31,232.2,429.7,91.1,4,1
3710.19,182.4,534.7,93.5,5,1
2600.7,112.9,392.3,64.5,5,2
2642.16,177.8,276.7,91.6,4,2
4081.31,228.6,555.2,105.1,4,1
2580.1,215.3,211.5,97.0,4,1
2418.51,125.2,316.9,72.3,5,2
3254.89,251.6,321.2,107.1,4,1
2391.39,123.7,342.4,58.6,5,1
3474.22,172.2,423.4,121.3,6,2
3450.89,143.2,485.9,103.8,5,2
3864.17,165.5,541.5,115.1,5,2
2009.66,173.1,144.4,82.2,4,1
2292.62,105.3,364.5,45.9,4,1
2159.53,108.2,333.6,43.6,4,1
2343.7,94.0,356.6,60.2,5,2
3614.55,220.1,468.7,95.5,4,1
3107.96,127.4,496.0,68.3,5,2
2055.36,118.2,284.4,49.5,5,2
1870.36,145.9,194.9,56.3,4,1
1486.92,117.6,156.0,43.6,4,1
3358.55,196.3,444.2,88.5,4,1
1120.51,124.9,44.7,49.1,4,1
2393.15,221.7,143.6,103.5,4,1
2004.06,143.3,216.1,62.9,5,1
2566.4,175.5,296.5,75.4,4,1
3933.04,162.8,632.1,83.7,5,1
2726.92,145.7,379.8,69.5,4,1
3103.03,164.2,400.9,93.6,4,1
2958.22,105.4,501.1,59.1,6,2
2001.16,137.5,242.4,53.5,4,1
2782.4,128.3,431.2,60.5,5,1
1800.68,179.7,75.0,86.9,4,1
3089.55,144.3,397.6,102.4,5,2
3761.75,143.5,608.3,83.8,6,2
4707.72,213.6,684.3,124.0,6,2
3096.17,230.7,345.2,88.1,4,1
2100.38,103.0,311.9,49.0,6,2
1538.4,126.7,138.4,53.1,4,1
2982.76,239.3,268.3,105.8,4,1
3304.28,154.2,529.3,63.4,6,2
2434.41,115.6,342.2,67.0,4,1
2498.41,130.8,349.2,64.3,4,1
1819.91,165.9,122.2,74.2,4,1
3108.14,206.9,356.3,95.0,4,1
1642.83,160.1,93.9,69.7,4,1
2055.68,197.1,147.3,75.3,4,1
2807.43,202.9,308.4,84.7,4,1
2257.03,144.6,276.9,63.4,4,1
2778.87,128.9,400.7,73.4,5,1
1653.06,156.7,90.0,74.0,4,1
2705.66,188.0,262.0,100.6,4,1
2448.0,140.5,329.0,63.3,4,1
3075.51,180.1,389.6,88.5,5,2
2823.88,159.6,366.6,79.9,5,1
3403.32,162.9,495.5,85.5,6,2
2009.64,158.5,196.1,65.7,4,1
2337.13,141.8,274.1,74.8,6,2
3454.85,116.5,606.7,62.5,5,2
1906.8,204.6,62.3,93.3,4,1
1458.97,128.4,118.9,52.2,4,1
1648.5,140.6,139.9,58.5,4,1
2500.28,120.2,387.8,52.0,5,2
1853.99,141.0,199.6,54.7,4,2
3281.15,173.0,428.4,97.3,5,1
2368.36,93.0,391.3,47.9,4,2
2157.91,186.8,180.4,76.6,4,1
2203.14,163.5,194.4,85.7,5,1
2765.77,197.2,293.0,89.5,4,1
1435.31,149.3,73.4,60.5,4,1
1701.49,186.3,46.1,85.8,4,1
2435.59,251.2,144.5,94.8,4,1
2868.7,228.5,291.0,87.9,5,1
3640.0,154.0,556.4,88.7,5,1
2615.67,180.7,299.8,77.1,4,1
2930.41,176.8,280.4,122.4,5,2
1488.38,133.8,116.5,54.1,4,1
1197.9,126.1,65.5,47.9,4,1
2133.57,134.8,256.7,63.1,4,1
1711.86,129.7,175.2,54.7,4,1
2875.77,122.7,464.6,58.5,5,2
1430.86,132.4,81.7,63.8,4,1
1631.55,151.4,111.5,64.4,4,1
2175.9,124.8,285.9,59.2,6,2
2061.99,106.2,292.0,52.2,5,1
2042.01,150.6,219.1,62.6,4,1
1339.7,130.1,73.9,58.2,4,1
1834.03,169.7,134.5,68.6,4,1
2315.47,143.2,306.3,57.5,5,2
3169.16,193.1,414.8,81.9,4,1
3495.82,130.8,592.4,67.0,6,2
2388.88,137.5,293.4,74.0,4,1
2327.4,249.5,92.3,106.7,4,1
3165.83,230.1,363.2,88.1,4,1
2509.02,100.8,391.0,60.2,5,2
2172.59,134.7,253.5,68.9,4,2
2797.52,171.7,303.6,99.6,5,2
2753.63,96.4,459.6,58.9,6,1
2583.36,238.9,174.9,103.1,4,1
1470.12,130.8,114.5,54.3,4,1
2069.77,97.1,301.1,53.0,5,2
2960.65,185.6,384.2,75.7,4,2
2431.38,126.9,373.1,47.9,4,1
2136.33,147.3,265.1,54.1,4,1
1824.35,162.9,149.8,63.8,4,1
2203.23,128.9,300.0,54.2,4,1
3194.74,168.8,379.5,111.2,5,2
1883.19,221.2,36.0,94.9,4,1
2627.15,163.9,342.0,67.1,4,1
2736.77,120.5,452.4,49.5,4,1
1914.83,165.4,158.6,68.8,4,1
3184.76,116.6,519.9,71.0,5,1
3483.6,118.0,592.9,71.1,5,2
3595.93,175.2,478.9,108.8,5,2
3561.12,148.6,548.0,86.1,6,2
1633.74,137.9,157.3,50.3,4,1
1987.56,115.8,250.2,58.2,5,1
2543.04,149.9,330.8,68.9,4,1
2357.7,206.7,169.4,94.8,5,1
2456.28,100.2,387.4,56.2,4,1
3230.94,149.9,479.3,79.3,5,1
2450.27,157.2,292.5,72.4,4,1
2327.56,171.3,248.6,72.0,4,1
2269.22,125.4,304.8,61.0,4,1
2505.2,137.9,357.0,58.4,4,1
2552.63,192.6,283.5,72.0,4,1
1957.58,108.2,254.4,56.3,4,1
1827.32,192.8,92.3,76.3,4,1
3626.16,221.2,473.1,94.4,4,1
2111.49,117.9,293.1,51.9,4,1
2078.34,189.7,121.7,92.5,4,1
2511.56,112.0,356.0,71.0,6,2
3348.17,212.4,427.3,87.7,4,1
2881.96,179.0,352.4,84.1,6,1
3137.57,94.4,549.3,62.5,5,2
1701.66,110.5,197.5,52.2,4,1
2707.94,83.8,467.7,55.8,5,2
2311.38,181.4,193.6,90.2,5,1
3467.75,183.3,459.7,99.5,6,2
2297.1,154.1,268.5,67.4,4,1
1977.06,170.2,168.6,69.1,4,1
2227.45,168.1,226.4,72.1,4,2
2039.4,185.2,156.8,74.6,4,1
2804.86,111.1,429.1,71.6,5,2
3621.7,181.6,495.5,101.5,4,1
2326.54,105.7,364.6,49.5,5,2
4515.26,195.0,671.9,116.4,5,1
1668.03,125.1,152.5,62.0,4,1
1938.74,205.8,119.0,71.0,4,1
1543.12,170.1,58.5,69.9,4,1
3395.87,132.5,560.6,69.3,6,2
1795.97,142.3,176.9,57.7,4,1
2826.82,122.1,469.5,51.2,4,1
1394.89,134.6,90.5,55.0,4,1
4025.99,172.6,627.5,91.7,5,2
2491.64,141.3,280.1,89.6,6,2
2127.75,209.8,104.3,96.8,4,1
1816.46,116.7,221.1,51.7,5,1
1685.78,116.0,194.3,49.4,4,1
2889.52,217.0,297.4,92.4,4,1
2224.05,192.3,157.7,91.6,4,1
1729.56,97.6,225.0,48.8,5,2
2024.28,236.4,52.0,96.8,4,1
3327.85,133.5,542.4,69.4,4,1
2425.21,220.0,209.4,78.7,4,1
3303.78,117.3,576.0,58.9,6,2
2758.94,162.6,352.4,77.7,5,1
2089.54,91.1,305.1,56.1,5,2
1703.95,127.5,177.3,53.9,4,1
2555.16,158.4,330.2,66.7,4,1
1567.66,120.2,147.6,55.2,4,1
2697.24,210.2,272.9,85.0,4,1
2518.81,202.1,260.1,74.5,4,1
2419.14,150.5,304.2,66.7,4,1
3562.93,182.2,535.8,76.7,5,1
1928.02,142.9,162.1,78.7,4,1
3577.83,176.4,535.5,81.2,4,1
3079.26,120.8,494.9,68.5,5,2
3717.45,198.6,542.3,83.8,5,1
2679.37,218.0,256.8,86.7,4,1
2588.56,157.6,355.4,59.6,4,1
3275.51,215.5,385.1,97.0,5,2
2211.23,199.1,156.1,87.8,4,1
2259.6,155.4,242.1,74.4,4,1
2397.24,113.9,369.8,51.4,4,1
2250.66,193.3,212.2,69.8,4,1
3139.56,134.7,501.0,66.3,6,1
1851.61,191.4,112.1,70.8,4,1
1861.86,132.1,209.3,55.1,4,1
4576.55,186.2,759.0,88.4,6,2
2891.73,128.8,445.1,66.2,4,1
3043.49,185.2,389.3,82.8,5,1
1638.24,114.1,186.6,48.4,4,1
4196.64,207.0,655.3,83.0,4,2
3368.59,165.5,486.2,84.7,6,2
3017.16,127.9,473.4,68.0,5,1
3538.24,233.4,407.8,108.2,4,1
2462.12,190.8,239.3,82.4,4,1
3180.51,204.8,369.1,98.4,5,1
3018.3,123.0,474.4,69.8,5,2
1962.68,217.7,35.9,105.4,4,1
2086.57,220.3,104.0,87.7,4,1
3406.42,188.1,462.9,89.2,5,2
1393.44,159.5,50.1,61.7,4,1
2036.47,87.4,321.6,44.5,5,1
2457.19,135.5,321.9,69.8,4,1
2502.55,168.4,314.9,63.3,4,1
4320.31,176.1,635.0,119.6,5,2
2022.0,212.5,54.8,105.9,4,1
2688.7,175.1,300.5,87.4,5,2
3785.73,203.5,475.7,118.8,6,2
1662.18,146.1,145.6,55.0,4,1
3170.28,209.1,383.7,88.8,4,1
3364.48,130.2,571.5,62.0,5,2
2339.76,162.1,280.4,63.3,5,1
2691.59,195.0,296.9,80.4,4,1
2344.57,98.3,378.7,48.5,5,2
2606.6,177.7,287.5,82.9,4,1
1836.62,111.5,249.3,43.7,4,1
3038.99,166.6,369.9,99.2,5,1
2343.56,122.3,297.2,73.9,6,2
1756.32,222.8,16.5,88.8,4,1
3899.53,172.7,591.8,93.5,5,2
4435.34,169.0,695.4,108.6,5,1
3650.45,157.9,562.0,85.6,5,1
2292.91,104.9,323.0,64.6,5,2
2149.95,237.2,80.3,97.8,4,1
2145.72,183.1,169.8,81.5,4,2
2110.28,95.3,293.9,61.5,5,1
2476.26,156.5,306.8,69.2,4,1
2466.05,111.3,364.3,62.6,4,1
3816.15,195.3,560.6,88.1,6,2
2429.62,193.6,203.6,93.4,5,1
2475.95,108.0,389.2,54.1,5,2
2411.12,119.4,364.3,52.9,5,1
2810.58,88.1,483.8,58.1,6,2
3002.36,165.7,412.5,76.6,4,1
2297.26,174.1,245.7,68.7,4,1
1843.46,102.7,248.2,48.9,4,1
2972.62,100.4,506.2,60.7,6,1
1838.41,163.3,134.7,71.8,4,1
1617.94,101.5,196.0,47.5,4,1
3042.6,174.4,395.7,84.7,4,1
3618.47,208.9,505.3,84.6,4,1
4006.33,140.8,688.5,76.6,5,1
2595.38,165.1,313.3,75.7,5,1
4092.55,200.8,549.2,121.4,5,1
2307.6,182.8,208.4,82.5,4,1
2647.2,113.6,421.8,56.2,5,1
2953.02,105.1,489.6,63.8,5,2
2691.31,149.7,315.6,92.2,5,2
2566.61,160.9,318.1,72.3,4,1
2372.23,199.4,191.1,90.0,4,1
2589.35,131.5,354.8,71.6,5,2
1495.5,121.3,125.7,56.4,4,1
3144.86,147.8,406.0,103.3,5,2
1797.4,138.3,186.0,55.6,4,1
2743.5,142.0,354.6,84.1,5,2
3209.72,206.9,386.3,93.0,4,1
3361.72,132.1,535.1,77.0,5,2
2860.99,146.8,384.9,81.6,6,2
3499.47,188.3,476.4,93.4,6,2
1816.64,131.6,208.1,50.9,4,1
2081.51,119.0,282.6,52.8,4,1
2185.93,142.8,280.6,54.7,4,1
2721.34,186.7,303.3,84.6,5,1
2935.78,135.9,455.0,63.6,5,1
1688.0,188.8,52.5,80.3,4,1
1334.6,119.0,98.1,51.8,4,1
2704.55,206.5,265.2,90.9,4,1
4286.6,185.6,658.8,101.0,5,1
3380.69,196.7,366.6,125.3,5,2
2918.3,153.0,369.0,92.3,4,1
1288.99,122.3,94.7,46.8,4,1
2524.2,133.9,367.5,57.6,4,1
1767.03,125.6,204.7,49.6,4,1
3492.89,191.1,436.6,109.1,5,2
2956.87,189.2,374.4,78.1,4,1
1882.21,154.8,163.7,67.6,4,1
1875.69,107.6,254.9,47.3,4,1
3574.73,178.0,536.0,79.8,5,1
2904.95,190.6,386.2,66.4,4,1
3301.75,141.6,529.4,68.6,6,2
3788.3,202.7,534.2,93.4,4,1
3332.55,139.1,545.2,66.1,5,2
2244.7,150.2,231.2,79.9,4,1
2739.8,212.3,261.2,94.0,4,1
3106.29,140.3,473.8,72.2,5,2
1487.48,159.2,68.8,63.9,4,1
2341.5,125.4,314.1,64.8,4,2
1999.59,138.3,231.4,57.9,4,1
2239.53,143.7,259.0,69.9,5,1
2199.93,132.0,284.7,59.2,5,2
3013.58,165.0,401.2,83.2,5,1
2242.52,222.4,132.1,91.6,4,1
2723.35,129.0,411.6,62.3,5,2
2096.6,191.0,164.7,74.9,4,1
2272.97,133.5,290.9,63.9,4,1
2932.37,154.4,361.4,96.6,5,2
2088.79,258.0,50.8,94.9,4,1
2654.85,216.5,225.2,98.6,4,1
2189.63,221.5,115.7,93.4,4,1
1815.34,184.9,117.3,67.4,4,1
2150.73,165.3,233.1,61.9,4,1
4152.19,188.4,635.6,95.1,5,2
1651.52,115.8,171.5,55.8,4,1
3154.75,134.9,476.2,78.9,5,2
2887.56,164.5,303.6,112.8,6,2
2772.7,236.0,224.4,103.5,4,1
1327.16,125.5,80.7,55.8,4,1
2351.8,113.0,358.3,51.8,5,2
1522.17,149.2,83.1,65.9,4,1
3082.46,109.0,515.1,65.1,5,2
1834.7,115.2,216.0,56.7,5,1
3463.87,188.2,491.1,83.0,4,1
4409.16,188.8,709.0,90.9,4,1
1997.95,201.4,128.8,75.2,4,1
3880.24,153.6,579.9,105.1,5,2
3156.63,229.1,354.8,91.2,4,1
2420.58,111.7,349.8,63.9,6,1
2578.98,108.1,419.8,51.9,5,2
1741.64,143.3,159.8,58.8,4,2
1903.9,125.7,229.6,53.6,4,1
2426.65,159.7,294.8,67.6,4,1
2260.56,102.3,327.5,60.1,6,2
1969.25,120.4,267.1,46.6,4,1
1973.98,141.3,221.2,58.2,4,1
4042.64,166.6,624.6,97.5,5,2
2103.47,200.9,132.0,85.8,4,1
2768.19,178.8,270.1,108.1,5,2
3001.94,197.4,366.9,82.8,4,1
2727.8,108.7,434.0,61.9,4,1
3172.84,106.8,550.1,60.6,5,2
2697.17,181.7,337.3,69.0,4,1
2254.91,134.2,258.9,75.8,5,2
1264.67,129.4,86.6,44.5,4,1
1873.23,112.3,255.1,44.9,5,1
2789.45,173.1,338.7,82.4,4,1
2355.8,141.8,311.4,60.4,5,1
1922.62,215.0,53.8,94.2,4,1
3397.94,199.0,435.2,95.7,6,2
1601.72,145.7,109.3,64.7,4,1
2249.61,126.6,253.3,81.1,5,2
2578.15,103.9,408.2,58.9,6,2
3275.49,136.3,505.8,78.6,5,2
2684.31,179.6,339.3,67.6,4,1
1755.25,127.5,210.4,44.9,4,1
2283.14,108.0,340.9,54.2,4,1
3063.88,203.4,348.5,95.1,4,1
2589.87,189.2,289.5,75.0,4,1
2228.94,147.8,265.5,63.9,4,1
2194.09,115.9,269.4,72.5,6,2
2972.09,117.8,484.3,62.6,4,1
3242.39,186.9,383.0,107.0,4,1
2156.65,155.3,210.7,77.0,4,1
2167.42,87.0,351.0,46.2,4,1
2707.51,136.4,404.6,60.4,4,1
1795.22,158.0,152.5,61.5,4,1
3240.02,147.0,496.1,74.2,4,1
2202.97,175.1,230.5,64.5,4,1
2521.57,164.6,310.4,69.1,4,1
3132.03,118.6,486.2,79.2,6,2
2726.79,142.0,402.9,60.8,5,1
2116.5,180.5,181.7,74.2,4,1
2762.76,120.5,440.5,57.7,6,2
2954.99,113.0,493.5,58.8,4,1
1752.27,127.2,210.5,44.6,4,1
2289.28,215.3,159.0,88.0,4,1
2053.17,112.2,292.4,48.3,5,2
2548.69,107.5,431.3,43.7,5,1
3028.8,145.6,444.8,74.1,6,2
1560.13,154.6,81.6,68.4,4,1
2220.84,180.4,212.1,72.3,4,1
2272.82,145.3,295.8,56.5,4,1
2286.4,114.4,315.1,63.1,5,2
2376.0,179.6,207.1,92.1,4,1
3630.15,153.1,597.4,69.8,6,2
1609.09,108.0,175.3,52.8,4,1
2079.6,162.7,209.6,65.6,5,2
1686.89,88.3,201.9,58.5,6,2
3721.52,198.6,458.8,121.3,6,2
2760.84,173.8,297.1,97.5,4,1
3304.56,179.9,489.5,69.6,5,2
2295.22,135.1,284.7,68.5,4,1
2659.4,189.9,302.5,76.6,4,1
3104.89,118.8,513.7,63.9,5,1
1861.43,199.7,86.0,79.9,4,1
3212.16,181.4,405.8,95.9,6,2
2766.81,136.0,367.9,83.5,5,2
3140.78,127.2,520.4,61.1,5,1
3719.99,193.5,516.4,97.8,5,1
2650.67,105.8,438.2,52.7,5,1
2194.57,233.6,99.5,95.8,4,1
1880.58,134.8,174.3,71.6,4,1
2988.18,192.6,286.5,119.1,5,2
2980.84,135.5,439.8,75.6,6,2
3737.02,135.9,644.6,68.3,5,2
2869.54,186.0,313.2,97.0,4,1
2031.43,235.5,72.5,88.8,4,1
2493.79,194.5,237.4,85.1,4,1
2461.75,106.0,368.4,62.7,5,2
3558.53,177.9,526.0,82.5,6,2
2062.71,167.6,184.2,72.8,4,1
3658.49,192.5,459.6,116.7,5,2
2386.56,132.2,272.8,85.2,6,2
2747.0,171.3,321.9,86.0,5,2
2039.45,161.5,225.9,54.4,4,1
2356.88,152.1,224.2,94.6,6,1
2521.2,220.6,181.8,101.3,4,1
1478.3,152.5,85.5,58.5,4,1
3638.31,253.5,428.5,101.2,4,1
1428.55,166.3,58.1,59.0,4,1
2639.9,257.7,164.8,105.5,4,1
2179.76,128.1,291.9,55.5,4,1
1862.96,121.5,227.5,51.9,4,1
2559.79,98.9,389.7,67.3,6,2
2256.8,140.8,233.4,84.4,5,2
2719.2,147.6,362.4,75.4,6,2
1857.89,129.6,206.0,57.3,4,1
3537.72,135.6,586.8,72.0,5,1
2942.11,128.0,466.5,62.7,5,2
2300.97,134.0,323.0,52.6,5,1
3178.8,169.5,456.3,75.1,5,2
2242.4,113.7,318.8,56.9,5,2
2094.64,144.0,242.0,61.2,4,1
4154.88,198.6,586.1,112.9,6,2
3286.48,182.7,408.0,102.6,4,1
2576.32,168.0,310.5,73.6,5,1
2063.46,222.3,100.1,86.0,4,1
2079.33,104.9,303.4,49.6,4,1
2917.46,154.5,424.8,66.7,5,2
2092.78,117.3,303.8,45.4,4,1
2475.59,163.9,288.0,74.2,4,1
1963.59,91.0,259.6,62.3,5,2
2818.59,103.8,444.0,69.7,5,1
3233.11,152.3,493.7,72.1,5,2
3000.12,99.3,532.9,52.4,5,2
3022.83,160.4,428.5,74.1,4,1
2861.88,192.6,319.2,90.5,5,1
1745.97,161.8,123.4,67.3,4,1
4037.38,182.3,600.8,100.6,5,1
2070.44,110.3,292.4,51.1,6,1
4529.21,168.5,754.4,93.0,6,2
3958.66,176.5,566.2,109.8,6,1
2820.08,206.6,316.7,80.8,4,1
1939.8,142.7,164.6,79.0,4,1
2255.3,94.6,336.5,59.0,5,2
2879.38,147.7,365.3,91.9,5,1
2601.69,93.4,431.1,56.0,5,1
3536.44,154.8,555.7,77.2,5,2
2618.67,213.7,254.6,82.8,4,1
2821.14,144.3,406.9,68.5,5,2
2764.69,136.3,392.3,72.3,5,2
2984.93,110.2,508.3,56.8,5,2
3260.08,133.4,501.8,79.9,6,2
2014.71,137.3,234.8,58.5,4,1
4838.19,198.1,797.5,95.1,6,2
2943.03,181.5,348.4,91.5,6,1
1746.22,103.9,204.3,57.1,5,1
2072.33,109.3,296.7,49.8,4,1
2897.65,225.5,273.7,100.1,4,1
2444.91,104.6,385.4,53.9,4,1
3017.68,237.6,305.2,94.1,4,1
1639.13,159.3,90.4,71.2,4,1
2335.5,147.0,302.2,59.9,4,1
3276.64,202.6,381.8,104.3,5,2
1905.54,229.6,55.5,85.0,4,1
1815.85,90.2,230.0,59.4,6,2
3175.55,124.1,525.6,64.1,6,2
2537.28,135.5,348.9,66.6,5,2
3000.66,149.3,444.6,69.4,4,1
2309.73,126.4,276.7,77.5,6,2
3828.76,203.3,538.6,95.7,5,2
2098.13,126.6,269.2,57.2,5,1
2459.54,86.8,391.9,60.5,5,2
1512.88,167.2,70.0,62.7,4,1
2839.86,176.0,343.4,84.7,4,1
1691.11,165.5,125.2,58.7,4,1
1816.71,201.0,68.1,82.2,4,1
2906.81,200.5,334.7,85.1,4,1
2661.41,167.4,308.1,84.4,4,1
1806.09,116.4,228.3,47.5,4,1
1969.34,125.1,245.3,54.2,5,1
1942.9,132.7,237.7,51.3,4,1
4142.8,138.1,719.0,79.4,5,2
2274.96,95.8,369.5,45.9,5,1
2168.97,95.9,347.8,43.8,5,1
1466.01,143.6,103.7,53.0,4,1
2005.02,120.9,215.6,73.2,6,1
1798.35,151.0,163.5,60.0,4,1
2693.82,136.8,414.8,54.1,4,1
3763.28,161.6,613.5,73.7,5,2
2608.75,196.0,255.2,89.3,5,1
3764.33,195.8,527.3,96.9,6,2
2165.34,124.5,300.8,51.6,4,1
1682.05,179.7,86.6,68.6,4,1
1529.97,95.6,176.7,49.0,4,1
2189.66,194.9,193.4,70.7,4,1
2355.77,205.3,195.4,83.7,4,1
2908.5,169.3,382.4,78.0,5,2
2811.32,207.9,279.8,95.6,4,1
1389.81,127.5,110.8,48.5,4,1
3155.56,222.6,357.2,92.9,4,1
1624.9,115.8,177.9,50.0,4,1
2057.87,139.7,201.4,77.1,5,2
1622.39,111.3,186.2,48.0,4,1
3230.65,130.9,532.7,64.0,5,2
2397.66,215.6,186.9,87.5,4,1
4216.59,195.7,666.7,85.2,4,1
2661.47,129.9,340.5,86.7,6,1
1954.01,129.4,249.9,48.5,5,1
2923.15,111.9,474.9,64.0,5,2
4356.81,196.3,616.2,123.0,6,2
2049.87,134.2,245.0,59.2,4,1
2686.73,156.5,334.9,80.1,4,1
2638.69,141.0,347.5,76.1,5,2
1852.68,149.5,193.2,53.6,4,1
2984.35,192.5,340.3,94.8,4,1
3054.3,118.8,508.7,60.5,5,2
3390.57,177.2,450.0,98.0,5,1
3216.17,132.1,526.1,64.8,5,2
1750.99,96.8,237.5,46.0,4,1
1572.13,108.1,190.8,41.8,5,1
4137.15,184.3,631.9,96.9,5,1
3129.2,145.9,489.9,65.1,4,1
2032.14,94.4,294.6,52.9,4,1
2725.99,168.4,356.3,69.7,4,1
2485.26,164.6,282.4,77.5,4,1
2241.03,157.5,265.5,61.0,4,1
1770.0,129.7,186.3,56.2,4,1
4260.76,164.7,665.7,104.4,5,2
