gender,age,height_cm,weight_kg,bodyfat_percent,activity_level,goal_type,goal_delta_kg,goal_time_weeks
1,18,185,105.4,11.8,5,1,-5,7
0,44,172,63.8,26.1,5,2,6,10
1,21,185,60.3,24.8,1,2,3,11
1,55,162,65.4,0.0,5,1,-2,4
1,38,151,52.8,27.3,3,1,-5,13
1,51,180,96.7,24.5,4,0,0,13
1,48,171,52.5,29.7,1,1,-7,12
1,31,162,104.1,19.7,2,1,-6,5
0,39,158,66.0,0.0,2,0,0,15
1,28,189,91.9,10.9,1,0,0,15
0,41,187,99.3,11.1,3,2,5,15
0,43,196,80.5,20.1,3,0,0,8
0,43,158,98.7,11.5,2,0,0,10
0,44,159,58.4,0.0,5,2,4,11
0,47,150,65.6,23.4,2,0,0,16
0,53,183,73.4,21.6,4,0,0,11
0,32,171,89.6,22.2,1,1,-3,12
0,46,171,87.5,24.9,3,2,7,4
1,40,188,88.5,29.0,5,2,3,16
1,38,183,108.6,16.9,5,2,4,14
1,30,200,106.3,18.4,4,1,-4,12
0,38,157,59.2,13.3,1,2,4,9
0,59,154,58.0,17.9,2,1,-5,14
1,33,188,106.0,11.1,3,1,-2,15
0,50,188,77.1,11.1,3,2,5,13
1,50,177,71.6,0.0,4,0,0,13
0,37,156,67.8,15.2,3,0,0,14
0,47,179,79.1,10.7,1,1,-2,9
0,27,166,102.4,14.9,4,1,-2,13
1,32,173,73.4,15.4,1,1,-6,12
1,43,168,83.3,16.7,2,1,-2,15
0,29,157,97.6,20.7,2,0,0,15
0,44,187,70.9,27.2,5,1,-2,5
1,38,165,78.7,27.0,4,0,0,13
0,58,173,74.6,29.7,2,1,-7,15
1,29,191,108.0,0.0,2,0,0,15
1,28,150,68.7,29.3,4,0,0,10
1,54,198,108.2,18.4,1,2,4,14
1,34,165,99.3,21.5,2,0,0,6
0,58,171,83.8,0.0,5,2,6,14
1,41,160,68.2,15.1,3,1,-6,14
1,21,197,70.9,17.5,1,2,2,14
0,36,178,63.4,0.0,5,2,8,6
0,31,181,100.5,0.0,1,1,-8,13
0,49,181,57.8,23.4,2,1,-3,15
1,51,175,69.6,0.0,1,0,0,9
1,45,162,63.2,28.6,3,2,8,16
0,44,151,64.3,15.4,1,0,0,10
0,54,169,95.5,26.7,3,2,6,10
1,44,156,52.7,23.0,5,0,0,9
0,59,197,79.9,0.0,3,1,-6,4
0,53,151,94.0,27.8,1,0,0,8
1,40,169,94.1,19.6,4,1,-5,10
1,52,171,70.2,25.8,1,1,-3,10
1,35,172,89.8,27.7,1,1,-8,5
0,54,198,109.6,22.1,2,1,-6,5
0,41,182,108.7,26.9,2,0,0,15
0,54,191,92.7,22.8,5,0,0,16
1,60,151,84.6,27.9,3,0,0,16
1,23,200,104.3,24.6,1,2,5,13
1,52,180,63.3,28.1,2,1,-8,16
1,35,154,55.9,27.3,1,1,-3,5
0,27,164,63.3,24.4,5,1,-8,6
1,40,169,58.7,20.3,3,1,-2,9
0,40,157,64.3,10.8,3,2,5,5
0,27,175,64.6,19.7,1,1,-5,5
1,39,181,72.5,15.1,1,1,-4,9
1,32,185,65.8,0.0,1,2,8,10
0,34,153,63.7,17.9,2,0,0,12
0,27,198,64.3,20.1,4,1,-3,9
1,24,174,63.9,25.7,1,1,-4,13
0,57,151,78.0,23.0,2,1,-3,13
0,29,197,70.9,14.2,2,0,0,5
1,36,185,95.2,16.6,5,1,-7,4
1,22,176,80.3,19.9,4,2,7,8
0,54,177,82.0,22.8,2,0,0,13
0,42,191,109.7,13.3,1,1,-7,11
1,41,164,100.2,11.1,4,1,-4,13
0,41,151,54.2,24.2,4,2,2,7
1,45,198,72.1,22.3,2,0,0,11
1,52,163,102.4,0.0,4,0,0,6
1,42,185,58.4,27.5,5,2,6,15
1,29,180,105.3,0.0,4,1,-5,7
1,59,182,59.5,24.8,2,1,-8,14
1,19,153,58.8,13.8,1,2,4,6
0,50,157,85.5,27.1,4,0,0,6
1,54,188,59.4,29.1,5,0,0,9
0,48,152,67.5,19.2,4,1,-6,15
0,52,190,72.6,0.0,2,1,-4,12
0,27,156,63.3,23.1,3,0,0,8
1,47,197,102.2,0.0,3,2,4,15
1,24,193,97.6,24.5,1,1,-4,14
0,20,163,70.9,11.3,5,1,-8,15
0,41,193,56.7,12.6,5,0,0,14
0,35,191,71.7,0.0,2,1,-8,13
1,19,180,65.0,18.7,5,2,4,9
1,18,192,66.5,0.0,5,2,6,14
0,40,157,98.4,19.7,3,2,8,8
0,51,171,76.1,13.0,4,2,2,5
1,38,183,62.4,29.7,3,1,-7,5
1,41,194,59.9,0.0,2,0,0,11
1,22,172,71.8,28.8,4,0,0,7
0,29,167,106.1,0.0,1,0,0,6
0,25,160,59.0,17.3,4,0,0,4
0,38,193,80.1,23.1,5,0,0,15
1,50,162,78.4,17.0,4,1,-8,5
0,40,178,86.1,15.6,1,0,0,10
0,24,181,69.9,15.2,2,0,0,13
0,58,178,68.2,15.4,3,0,0,16
1,43,195,84.9,28.6,5,1,-8,12
1,23,189,57.9,28.6,3,0,0,12
0,45,164,89.3,20.5,1,1,-2,16
1,57,164,103.8,10.1,5,1,-2,6
0,48,165,56.6,0.0,3,0,0,5
0,42,177,92.8,24.2,2,1,-3,16
0,28,188,61.8,14.8,2,2,2,11
0,43,179,106.7,10.4,2,0,0,12
1,44,152,92.9,15.2,1,2,2,15
0,36,176,55.6,11.8,5,2,5,11
0,41,183,55.2,12.1,1,0,0,15
1,60,188,50.3,20.8,5,2,5,6
0,57,151,100.2,28.1,1,0,0,12
1,26,188,94.6,0.0,4,2,6,5
0,49,161,74.5,0.0,5,1,-2,6
0,52,169,80.0,17.4,2,1,-7,5
0,53,191,83.3,17.4,1,0,0,16
1,30,193,83.0,28.9,3,1,-3,10
0,56,191,66.9,15.2,3,2,4,6
1,46,175,101.5,10.3,3,0,0,16
0,33,169,53.2,26.0,3,2,6,8
0,18,170,100.2,15.1,5,2,4,7
0,34,160,62.3,24.2,1,0,0,8
1,24,158,87.0,25.9,2,1,-2,8
1,26,179,78.8,27.3,1,1,-4,8
0,58,177,67.7,15.1,5,2,2,13
0,47,181,66.7,21.8,1,0,0,9
0,58,195,62.5,17.2,5,0,0,5
0,38,156,56.4,11.1,1,1,-7,9
0,32,180,95.5,17.3,4,2,6,10
0,37,184,77.9,18.4,1,2,2,5
0,38,193,98.0,26.1,2,1,-7,14
1,23,152,60.9,27.7,2,0,0,11
1,21,153,53.7,26.2,2,0,0,16
0,52,180,103.1,0.0,5,1,-5,16
1,55,164,95.0,19.5,2,1,-8,5
1,56,166,51.9,20.8,2,0,0,5
1,25,173,104.5,0.0,2,1,-2,12
0,50,155,73.6,13.1,5,0,0,4
0,34,183,97.5,24.7,3,1,-3,8
0,39,166,68.8,24.5,5,2,4,8
0,19,190,90.9,0.0,2,0,0,7
0,18,198,54.0,26.5,2,2,4,5
1,27,155,56.2,0.0,4,1,-5,15
0,57,177,74.2,18.2,5,1,-6,4
1,31,174,59.5,17.9,2,1,-5,9
1,21,166,100.3,0.0,5,1,-7,5
1,30,154,92.0,16.4,3,1,-7,14
0,54,198,77.1,28.5,3,0,0,12
0,47,187,93.2,18.2,3,2,5,14
0,49,153,80.3,28.7,1,0,0,8
1,40,165,100.6,10.8,3,0,0,12
0,43,158,64.3,18.9,4,2,3,9
1,50,199,102.3,28.2,5,0,0,4
0,19,182,99.3,26.4,2,0,0,4
0,22,172,73.3,0.0,5,1,-3,14
0,57,159,107.9,10.7,1,2,3,6
1,31,177,99.3,0.0,3,1,-3,10
1,37,190,76.7,23.5,4,1,-7,8
0,33,198,57.9,28.7,5,0,0,12
1,46,161,80.7,17.1,3,1,-7,15
0,34,193,71.7,10.1,3,2,2,11
1,20,182,80.0,24.0,2,1,-2,12
1,35,194,62.5,0.0,3,1,-7,16
1,24,160,105.2,11.9,4,2,3,15
0,20,179,67.2,10.0,4,0,0,13
0,47,184,90.3,18.3,3,0,0,10
1,35,181,52.8,16.6,3,1,-3,6
1,23,180,97.4,12.6,5,0,0,4
1,22,189,93.8,12.6,2,2,3,7
0,60,187,76.7,0.0,3,2,7,11
0,48,170,108.4,28.2,4,0,0,7
1,31,190,89.7,13.2,1,0,0,11
0,57,161,100.4,10.4,2,0,0,14
0,59,171,65.4,17.8,4,2,8,5
1,57,185,107.4,0.0,2,1,-4,6
1,29,172,98.0,14.8,1,1,-4,16
1,22,163,94.9,13.3,2,2,7,5
0,47,150,74.4,0.0,1,1,-2,12
1,35,164,50.4,13.3,3,0,0,5
1,25,178,78.8,28.6,3,0,0,6
1,34,157,76.9,13.1,4,1,-6,16
1,43,196,107.0,17.0,4,2,2,14
0,28,189,106.0,0.0,1,1,-2,11
1,46,163,96.8,26.0,1,2,2,6
1,18,184,106.6,22.1,3,2,3,14
0,34,160,66.2,20.2,2,1,-8,16
0,57,158,91.3,13.0,5,1,-7,6
1,42,183,65.5,12.3,5,2,8,11
1,45,188,75.0,17.8,2,0,0,4
1,20,196,94.9,22.9,4,1,-4,7
0,22,199,60.1,17.6,2,2,6,5
0,20,170,83.3,27.1,3,0,0,10
1,48,181,50.6,23.3,5,1,-6,8
1,42,170,101.3,15.9,2,0,0,15
0,55,161,63.3,26.5,2,2,6,4
0,27,154,99.7,0.0,1,1,-3,8
0,30,177,103.5,0.0,4,2,4,4
0,41,193,100.4,17.5,5,2,2,4
0,40,167,87.3,29.4,5,2,6,5
0,60,171,54.4,0.0,2,2,2,11
0,30,162,108.7,0.0,2,1,-3,5
0,21,161,88.6,25.9,1,0,0,14
1,21,181,52.0,21.1,2,2,8,6
0,56,181,77.3,14.3,2,0,0,12
0,24,168,65.6,0.0,3,0,0,15
1,49,194,103.2,0.0,5,2,3,11
1,45,192,108.2,29.2,1,0,0,9
0,49,164,60.4,0.0,3,2,3,15
1,60,192,55.2,24.6,5,0,0,10
0,25,157,54.5,17.4,4,2,7,8
1,21,166,77.6,27.8,5,0,0,5
0,53,171,75.3,20.4,4,1,-6,14
1,36,183,50.1,10.3,2,0,0,14
0,57,194,55.0,18.5,5,2,2,11
0,22,173,75.4,20.1,2,1,-6,7
1,49,171,51.3,27.2,2,0,0,9
0,52,151,86.5,25.4,4,0,0,12
0,53,200,95.1,25.3,5,0,0,16
0,50,183,82.7,15.4,5,2,7,16
0,46,188,85.7,16.7,1,2,2,16
1,46,172,102.7,10.8,3,2,5,8
1,31,200,98.9,0.0,1,0,0,6
0,29,166,61.2,11.9,4,0,0,12
0,39,153,58.6,22.7,5,2,8,14
0,53,162,85.5,0.0,2,2,7,6
0,45,173,79.1,12.8,4,1,-2,5
1,49,159,95.4,13.3,2,1,-3,13
1,51,156,71.8,23.3,2,2,4,13
0,49,153,60.2,23.9,2,1,-6,4
1,23,191,91.0,18.3,2,2,6,14
0,53,164,60.8,17.8,3,1,-6,8
1,47,152,72.3,12.6,2,2,3,10
1,25,168,101.4,10.7,4,1,-7,11
1,18,167,81.4,10.9,3,2,7,5
0,60,178,80.3,18.1,2,2,3,9
0,22,168,105.9,15.5,2,2,4,8
0,50,162,57.5,23.8,4,1,-5,7
1,25,195,59.5,11.0,2,0,0,8
0,40,196,60.6,18.4,5,1,-3,4
1,37,168,96.5,22.8,2,0,0,14
0,26,153,67.5,19.4,5,0,0,12
1,56,175,83.8,23.3,1,1,-4,14
1,31,178,52.9,26.2,2,1,-3,8
0,19,191,99.9,12.7,1,0,0,16
0,55,200,104.2,16.2,5,0,0,8
1,54,163,104.8,20.1,2,2,3,10
0,49,152,93.9,13.6,2,0,0,14
0,44,196,51.7,28.2,2,1,-2,7
1,26,175,70.3,28.0,4,0,0,12
0,44,157,60.6,19.4,3,1,-6,5
0,43,155,108.0,21.9,2,2,5,11
1,45,193,93.3,23.7,3,0,0,9
1,24,184,72.8,27.0,3,1,-2,15
0,44,160,53.5,14.4,4,1,-3,8
1,27,176,96.7,18.5,4,0,0,6
0,21,175,82.2,13.2,5,1,-2,14
1,45,158,77.4,12.7,3,2,7,9
0,24,194,102.6,17.6,4,0,0,16
1,18,193,74.8,18.9,4,2,5,5
0,25,199,86.3,19.5,1,0,0,16
1,37,190,96.1,0.0,5,1,-5,9
1,51,179,73.6,25.5,4,2,3,8
1,43,169,67.2,0.0,2,1,-6,16
0,35,171,67.1,21.3,3,0,0,16
1,27,178,70.6,28.9,2,0,0,16
0,40,155,85.5,0.0,2,0,0,8
0,37,178,72.6,23.8,1,2,7,5
0,57,176,92.7,0.0,4,0,0,13
0,19,190,93.3,17.2,2,1,-6,9
1,60,152,67.9,12.2,2,2,2,15
0,21,180,88.1,0.0,2,1,-7,6
1,54,167,70.8,16.1,2,0,0,8
1,31,158,87.4,24.7,2,2,5,7
0,46,186,109.0,23.3,1,1,-3,12
1,41,192,107.6,23.8,3,1,-2,6
0,23,169,101.8,26.3,2,1,-8,7
1,45,176,80.2,12.2,1,1,-6,8
0,56,178,72.1,0.0,4,1,-5,8
0,29,153,95.2,21.7,5,2,3,8
1,29,164,56.8,21.6,3,1,-7,11
0,33,156,77.5,0.0,4,2,3,5
0,46,166,96.9,0.0,2,2,7,10
0,55,198,104.1,27.1,4,1,-3,15
0,30,174,58.3,19.6,1,1,-8,13
1,53,180,60.6,16.6,2,2,7,8
1,37,165,71.6,21.4,1,1,-2,6
1,43,164,61.9,19.6,5,2,7,7
0,37,189,56.8,21.4,2,0,0,9
0,52,190,103.6,26.8,4,0,0,7
1,40,177,104.4,13.5,5,0,0,8
1,41,173,89.6,0.0,3,1,-4,13
1,30,155,88.9,13.9,4,2,6,11
1,40,171,98.4,19.7,5,1,-2,11
0,35,187,62.0,27.3,3,2,2,13
0,39,188,58.6,17.2,3,2,7,5
1,31,158,65.7,23.8,1,0,0,10
0,35,152,54.1,13.6,4,1,-6,14
1,46,173,69.5,18.3,5,1,-8,9
1,33,177,52.3,12.2,2,2,4,7
0,44,189,57.1,14.3,4,1,-7,7
0,23,169,64.8,12.7,3,1,-3,14
1,48,164,96.1,14.0,4,2,5,15
1,43,161,89.4,0.0,4,1,-5,9
1,20,162,91.1,28.8,2,2,2,14
0,58,188,89.2,16.7,5,1,-4,11
0,46,185,63.8,12.1,4,0,0,12
0,50,183,63.9,14.0,4,2,6,4
0,59,156,85.0,13.7,4,1,-6,12
1,19,179,68.7,19.7,1,2,3,14
1,53,159,55.1,20.4,1,1,-3,12
1,53,161,51.9,25.2,3,0,0,9
1,33,183,85.9,11.0,4,1,-2,14
0,42,157,75.2,17.3,2,0,0,12
1,40,154,94.9,0.0,3,1,-5,16
0,29,189,107.5,22.6,2,2,5,8
1,26,152,69.9,14.0,1,1,-8,14
0,52,178,70.8,19.7,1,2,5,11
1,22,176,57.9,21.4,3,2,8,9
1,40,156,83.0,17.7,3,2,2,11
1,45,197,84.4,25.3,3,0,0,4
1,57,171,55.6,24.9,4,1,-7,15
0,20,151,59.9,26.3,4,0,0,13
0,29,151,96.2,20.8,5,1,-6,10
1,47,152,85.8,18.7,4,1,-6,16
1,40,189,67.9,15.1,4,1,-8,7
0,60,162,66.4,25.1,1,2,3,5
1,26,176,65.2,15.2,5,0,0,8
0,51,165,107.4,14.3,2,0,0,12
1,36,160,77.4,18.1,3,1,-5,12
1,54,187,54.1,12.0,3,0,0,10
0,58,173,74.9,14.9,3,0,0,14
1,47,198,72.4,19.3,2,1,-8,6
1,23,170,90.1,22.5,4,0,0,10
0,27,198,75.6,24.9,4,1,-6,9
0,45,167,76.7,22.2,5,1,-7,7
0,40,157,70.5,23.3,4,2,5,10
0,60,183,68.3,27.8,5,0,0,5
0,40,194,89.6,19.7,2,1,-3,5
0,60,170,61.4,16.9,3,2,2,15
1,47,181,67.0,18.1,5,0,0,5
1,48,174,53.2,21.7,4,1,-6,12
1,32,150,90.4,24.4,3,1,-4,13
0,25,150,56.5,13.2,1,2,7,8
1,22,198,51.1,0.0,4,0,0,5
0,54,161,76.8,23.1,3,2,4,12
0,24,179,73.0,20.4,1,1,-3,13
0,25,184,76.1,0.0,3,1,-7,15
0,35,176,64.0,18.6,5,1,-4,6
0,31,171,64.9,25.0,2,2,6,13
1,18,164,95.4,0.0,2,0,0,8
0,43,199,82.0,24.4,5,2,7,10
0,39,161,58.3,22.9,1,0,0,13
1,37,182,78.0,19.1,1,0,0,9
1,34,186,50.4,27.9,1,2,5,4
1,39,195,103.2,19.8,3,2,8,11
0,41,189,106.5,28.8,2,0,0,12
1,52,152,83.5,14.3,4,0,0,10
0,52,152,71.1,15.4,2,0,0,6
1,49,169,91.8,10.5,3,1,-2,12
0,45,199,62.8,19.3,5,2,7,15
0,60,174,84.2,27.3,2,1,-8,13
0,47,195,106.3,0.0,2,2,6,14
0,41,168,70.8,22.7,3,2,6,11
1,30,160,70.6,18.4,4,2,2,11
1,55,161,103.0,19.7,4,0,0,11
1,52,150,56.7,16.3,5,0,0,5
0,40,182,100.8,12.0,1,1,-8,8
0,39,167,73.8,24.9,1,0,0,16
0,36,164,101.3,19.9,1,2,4,16
1,57,172,81.2,28.7,3,2,3,6
1,25,194,79.7,22.1,5,2,8,5
1,60,182,98.7,0.0,4,0,0,6
1,34,157,98.8,0.0,3,1,-3,6
0,42,199,93.8,19.0,3,1,-2,12
0,42,197,55.4,19.6,3,2,7,15
1,58,193,101.0,22.4,3,2,6,5
1,48,180,77.6,10.2,2,1,-7,10
0,26,170,98.8,0.0,4,2,2,9
0,43,181,78.0,23.9,1,2,8,7
1,52,164,98.6,27.3,1,2,3,8
1,51,157,67.6,12.7,3,1,-3,14
1,50,156,82.1,29.8,1,2,7,14
0,37,195,108.3,28.9,3,1,-8,16
1,38,174,70.8,23.5,1,1,-6,7
0,51,167,106.1,11.7,5,1,-6,9
0,55,159,71.2,27.3,1,1,-5,4
1,47,194,109.6,25.7,3,1,-6,14
0,45,156,66.9,15.9,2,0,0,11
1,45,197,53.1,25.4,5,1,-6,9
1,26,151,60.6,12.1,2,2,7,15
0,55,164,74.4,0.0,1,2,6,15
0,44,177,87.6,20.1,1,2,7,12
0,56,200,69.4,21.4,1,0,0,11
0,33,183,75.3,14.3,4,2,4,9
1,47,164,66.7,14.8,3,2,4,7
1,19,186,63.0,18.1,3,0,0,12
1,19,164,87.9,0.0,4,2,5,14
1,24,169,70.7,23.8,1,2,5,9
0,43,180,70.2,24.3,4,1,-5,11
1,57,193,101.2,28.3,5,2,2,16
1,45,190,107.9,24.9,3,0,0,8
0,42,174,85.0,18.1,2,0,0,16
0,47,159,94.8,13.1,1,1,-8,10
1,44,194,51.0,0.0,3,0,0,8
0,57,172,83.4,16.2,2,2,5,14
0,51,159,56.5,17.5,5,1,-4,7
0,49,160,80.7,29.6,3,0,0,15
1,50,157,53.2,0.0,2,2,3,14
0,38,182,61.3,26.3,4,2,8,6
1,43,186,87.6,20.5,4,0,0,16
1,40,187,57.6,0.0,5,2,4,5
0,57,160,89.0,17.8,3,0,0,11
1,23,195,98.3,19.4,2,0,0,15
0,41,192,75.7,11.4,1,1,-7,14
0,46,187,107.2,14.9,4,0,0,12
0,32,168,60.2,17.3,1,2,6,11
1,52,178,102.0,18.2,5,2,6,15
1,49,161,106.7,17.5,3,2,4,7
1,58,159,92.9,16.6,4,1,-5,14
0,39,162,79.4,0.0,1,0,0,15
1,22,169,52.8,11.9,2,2,6,4
0,54,193,76.7,13.8,2,2,4,16
1,35,191,57.4,19.4,5,0,0,6
0,51,195,84.6,0.0,4,2,4,11
1,43,163,89.7,10.1,3,1,-3,16
0,51,181,77.9,20.8,2,2,4,15
1,33,199,73.2,26.3,3,2,8,14
1,21,166,58.1,21.2,5,2,5,9
0,27,162,67.9,12.1,4,2,2,7
1,30,162,68.8,26.3,2,0,0,15
0,39,183,100.8,10.7,5,2,8,10
1,22,150,98.1,16.9,1,2,6,14
1,20,179,64.0,21.5,1,0,0,8
1,51,163,56.1,20.2,3,0,0,15
0,25,159,109.4,26.8,4,1,-7,11
1,59,194,63.3,23.4,4,0,0,4
1,22,164,104.3,28.3,5,1,-4,16
1,59,193,74.6,17.0,1,1,-5,13
0,50,167,61.3,11.9,5,1,-7,8
0,43,176,101.6,20.7,2,2,2,10
0,19,188,96.1,22.2,1,1,-4,7
0,25,155,50.1,18.0,1,2,3,8
0,60,188,64.3,11.5,4,2,2,11
1,49,166,73.9,0.0,3,2,6,7
0,43,179,79.3,29.4,5,0,0,16
0,45,151,70.6,18.1,1,2,5,8
1,26,160,102.5,28.4,4,2,3,6
0,50,194,60.4,11.4,2,0,0,11
0,42,173,50.8,27.5,4,2,4,13
0,28,164,69.7,19.9,1,1,-4,7
0,58,166,87.8,11.0,4,1,-5,11
1,32,166,69.2,21.9,2,1,-4,11
1,18,162,86.8,18.8,1,1,-3,16
0,23,188,91.9,22.3,5,1,-7,12
0,24,151,91.4,20.7,2,0,0,4
0,57,159,52.3,16.9,4,1,-6,16
0,57,172,67.0,26.6,2,0,0,9
0,58,150,57.0,15.7,4,1,-6,5
1,34,165,83.8,10.1,5,2,5,16
0,21,178,50.9,13.7,4,0,0,7
0,37,199,54.4,12.4,3,0,0,7
0,43,153,62.6,28.8,2,1,-2,13
1,38,188,62.3,22.9,1,2,6,4
