food_id;food_name_hu;food_name_en;kcal_per_100;prot;carbs;fat
a56aa3e6-72cf-4a97-a896-16d4a02eef7a;sárgarépa;carrot;40.2;1.0;9.8;0.2
5051c8e9-198e-4408-a435-7e73b31c9628;szőlő;grapes;72.4;0.6;18.9;0.4
6f0d2e24-6219-462e-a982-7ae455d284f5;bulgur;bulgur;335.9;11.8;71.7;1.3
54eef40b-12ab-4ce2-b3dc-582371947baf;narancs;orange;48.2;0.9;12.3;0.2
9755feb0-f8bf-43aa-b66f-3aa043b94a02;marhahús (sovány);lean beef;200.8;24.9;0.0;9.6
19ee0d3e-eafb-4b13-90e7-4be51d069910;zsírszegény joghurt;low-fat yogurt;63.0;5.0;6.0;1.5
8574c54e-af96-4e54-b944-1377d9eecd32;brokkoli;broccoli;34.4;3.0;7.1;0.4
07591291-b43b-4026-8b22-77f7977d1ef7;pulykamell sonka;turkey ham;105.3;17.2;1.0;2.9
1d354ce7-bf75-4671-befe-df8846f9f31f;burgonya;potato;79.6;2.1;17.6;0.1
3550a595-31fb-4b60-8ec4-41a32da5b6d8;burgonya;potato;77.7;2.0;17.2;0.1
55c50d67-4f09-473f-b6c8-975c080487c8;brokkoli;broccoli;34.9;3.1;7.2;0.4
3eecf7e6-cdcb-4a71-8936-51b1b5f53b9b;lencse (főtt);lentils (cooked);119.9;9.3;20.7;0.4
c245eb5f-ea37-456a-b3bf-e3205a28d0ab;teljes kiőrlésű kenyér;wholegrain bread;254.5;10.3;42.3;4.1
0a63591a-2393-4d39-adea-7a757c74db89;sertéskaraj;pork loin;198.9;28.3;0.0;7.3
25022fcd-15ed-49e0-a9b0-ff9591621e0f;csicseriborsó (főtt);chickpeas (cooked);161.3;8.9;26.6;2.6
018d3299-09e7-4b91-9f0e-747a938437ad;bulgur;bulgur;353.9;12.4;75.5;1.3
e9e2835a-aeba-450f-b38a-47685441bda9;bulgur;bulgur;355.7;12.5;75.9;1.4
56053aa9-5e0c-4a32-b0bc-528747b160e6;teljes kiőrlésű kenyér;wholegrain bread;236.6;9.6;39.3;3.8
ffa3942a-0b44-49f9-b641-5def9058f817;kókuszolaj;coconut oil;912.0;0.0;0.0;102.2
ba45d2d4-92a7-49c7-aa6c-480fd0f84db4;csirkemell (sült);chicken breast (grilled);163.7;30.8;0.0;3.6
689fcefd-e857-47c6-97f1-6822c5245547;fehér rizs (nyers);white rice (raw);363.7;7.1;78.8;0.6
569d7092-b782-4320-95e4-faad8336e253;tonhal konzerv (vízben);canned tuna (in water);120.0;25.9;0.0;1.0
dab0c6c1-756d-4073-904b-6c6dbeb1a05e;paradicsom;tomato;17.6;1.0;3.9;0.2
5a3d9c7f-9a6b-4cde-9cd5-ed3a06dcb438;tészta (nyers);pasta (raw);374.6;13.1;75.7;1.5
b485f04f-2f9e-4b96-a545-afc18781b509;alma;apple;51.4;0.3;13.8;0.2
21a9e44e-8a43-4230-8017-63be074652a2;mandula;almonds;550.1;20.0;20.9;47.5
1e79b6f8-cde8-456e-9609-585b84bd3483;uborka;cucumber;16.6;0.7;3.1;0.1
05d83508-c44a-4717-9c8c-c084f19f41e6;sárgarépa;carrot;39.0;1.0;9.5;0.2
ac73322a-57b5-4f10-90d5-eec5d0b36d0d;narancs;orange;45.2;0.9;11.5;0.2
26de2b37-be0f-4de0-a3c5-91bb1ea5058a;szőlő;grapes;72.0;0.6;18.8;0.4
7c2d15dc-7a75-4594-8ba7-8366c953e5d4;tonhal konzerv (vízben);canned tuna (in water);116.2;25.0;0.0;1.0
9c24017f-d71b-4e18-ac5a-4e881bb3c140;tonhal konzerv (vízben);canned tuna (in water);115.0;24.8;0.0;1.0
d21c13e2-cf64-4ff3-aa9f-bf3d7f2e1ed3;zsírszegény joghurt;low-fat yogurt;66.0;5.2;6.3;1.6
53ff0d35-f86f-45b7-97c3-7e582bbf21cc;zsírszegény joghurt;low-fat yogurt;62.9;5.0;6.0;1.5
f10a1acc-6f4b-440a-a4fa-0cefefc9ac1d;zsírszegény joghurt;low-fat yogurt;61.4;4.9;5.8;1.5
51b2a2c9-0956-4c23-9590-b2f4ce7bb135;tonhal konzerv (vízben);canned tuna (in water);116.3;25.1;0.0;1.0
17dca640-017c-41bf-b8da-cbe906bbaede;protein por (tejsavó);whey protein powder;396.3;79.3;7.9;5.9
7f0febb2-7945-4ba8-912e-f3623d697b53;alma;apple;52.5;0.3;14.1;0.2
2a56e714-ea1d-4e3a-a2e5-6be3965b263d;fehér rizs (nyers);white rice (raw);372.4;7.2;80.7;0.6
9c0623f5-951e-4d04-bc3a-302aa1653e91;tonhal konzerv (vízben);canned tuna (in water);120.8;26.0;0.0;1.0
ad3df833-c39d-420f-a27a-f6ba377df452;banán;banana;89.5;1.1;23.1;0.3
c68b5051-d7b0-4d09-a4e4-9095b0f80938;csirkemell (főtt);chicken breast (boiled);158.7;29.7;0.0;3.1
a07bd504-8bea-44f9-8213-c123ab90127f;zsírszegény túró;low-fat cottage cheese;99.5;13.2;3.0;4.1
dc83e8c3-3acb-42f8-bb4a-8b51a4fd8d77;zöldség mix (fagyasztott);vegetable mix (frozen);51.3;3.1;10.3;0.5
4e6742e3-e009-4d01-b572-4320c23000f6;marhahús (sovány);lean beef;210.2;26.0;0.0;10.0
7a04ea18-3a96-4a75-a4ca-fcda7c5c5973;csicseriborsó (főtt);chickpeas (cooked);162.2;8.9;26.7;2.6
b9643616-37fc-47de-8b4b-e881f4f6d499;quinoa;quinoa;351.1;13.4;61.1;5.7
3625014a-500b-42cc-96c8-47c97b5b3823;narancs;orange;48.8;0.9;12.5;0.2
6f287431-6a5d-4574-b7ee-ba0435e9aa0e;dió;walnuts;624.6;14.3;13.4;62.1
172502ad-37d7-4825-a45b-55d5fae45c35;narancs;orange;48.2;0.9;12.3;0.2
65b8bd38-2de5-4089-aa45-ef1e97452f3c;alma;apple;50.9;0.3;13.7;0.2
f5328dd6-aef8-45a6-89a9-ba6a7d3c3d94;zsírszegény túró;low-fat cottage cheese;102.8;13.6;3.1;4.2
6aecc2ed-3b7c-4993-8aad-e916bf2a561c;paprika;bell pepper;26.9;1.0;6.2;0.3
d1ffa959-faaa-4ded-8c0a-1cdfddc88e71;édesburgonya;sweet potato;88.1;1.6;20.5;0.1
8836b8e6-326c-464d-9b3f-d4700502af2a;tojásfehérje;egg white;52.8;11.2;0.0;0.0
cfed63a8-d6a2-4493-8e8b-77d86b348a0f;banán;banana;87.2;1.1;22.5;0.3
377b258f-e8a8-49b0-90ae-c4c3dece8f72;lencse (főtt);lentils (cooked);111.3;8.6;19.2;0.4
83505719-57f0-42f3-91dc-facb3d121291;lazac;salmon;207.1;19.9;0.0;12.9
6cfa8ba1-4195-48c8-ae39-09673e9dc8fc;karfiol;cauliflower;23.9;1.9;4.8;0.3
bba86d06-920f-4c6f-8ddc-d7893af9583f;sertéskaraj;pork loin;196.7;28.0;0.0;7.2
b3a9a0ad-8db1-43d0-aed7-360a66c72861;zsírszegény joghurt;low-fat yogurt;63.7;5.1;6.1;1.5
f409e21d-715a-490c-a217-0cdf857e412e;kókuszolaj;coconut oil;854.5;0.0;0.0;95.8
921f7bdf-fc03-46e1-9fd3-5155eb87b459;burgonya;potato;76.2;2.0;16.8;0.1
6bed5437-4e96-44c2-99b1-2e17bff10c92;zöldség mix (fagyasztott);vegetable mix (frozen);48.1;2.9;9.6;0.5
2ad15de0-09f7-4b2d-97c7-1aaec28c2728;bulgur;bulgur;358.4;12.6;76.5;1.4
5c2945ee-66b6-446e-85e3-07591ca460c7;tonhal konzerv (vízben);canned tuna (in water);117.4;25.3;0.0;1.0
a2a590c0-434d-4e5b-8590-0b5b830ff7b4;trappista sajt;semi-hard cheese;339.5;26.0;2.0;28.0
5ed6ca0d-9ffb-48d9-bb7f-55713fcf99e4;natúr görög joghurt;plain greek yogurt;97.7;10.1;4.0;5.0
6eda2a60-dc6d-4d16-9bf0-fff88e5ed637;csicseriborsó (főtt);chickpeas (cooked);168.1;9.2;27.7;2.7
1eb3c7f7-0bf2-430f-aacb-e2856f25dd50;lazac;salmon;206.7;19.9;0.0;12.9
4bc62fd8-559e-4312-bf0e-c4f50407a2e7;tojás (egész);egg (whole);149.1;13.6;1.0;11.5
a9eb3c77-e705-49ea-a521-ae45eda146f2;banán;banana;88.6;1.1;22.9;0.3
aebd7f89-8109-4fcb-9aea-50e68f4c3fdc;pulykamell sonka;turkey ham;106.1;17.4;1.0;2.9
c8cdcff9-4de9-46ca-8661-4cd5999c58de;édesburgonya;sweet potato;83.1;1.5;19.3;0.1
62ffa42d-2386-4490-8fca-eda571fa2cdb;paprika;bell pepper;25.0;1.0;5.8;0.3
a416db48-fd1f-4150-bf93-f89f639d4d70;édesburgonya;sweet potato;84.9;1.6;19.7;0.1
9c5af5bc-1bbf-434f-855d-31995ee587d1;tojás (egész);egg (whole);145.9;13.3;1.0;11.2
ca3828e3-6ecd-4d2e-af54-3ca39c63e724;fehér bab (főtt);white beans (cooked);118.2;9.0;27.0;0.5
b2da4dd1-fdc3-4191-a2c1-6280393422bb;csirkemell (sült);chicken breast (grilled);156.8;29.5;0.0;3.4
0e8fe38e-9a11-43d2-88d4-d7624864d24a;zsírszegény joghurt;low-fat yogurt;63.0;5.0;6.0;1.5
03fa636f-714f-409d-9e3f-eff8a67f9e1c;szőlő;grapes;69.6;0.6;18.2;0.4
ac669352-b016-4b55-b627-ffb23e5dbd5b;zabpehely;oat flakes;408.2;13.6;63.0;7.3
0721bbf2-bbbd-48d6-887e-147276ce5bb3;tonhal konzerv (vízben);canned tuna (in water);118.0;25.4;0.0;1.0
31f05bef-426f-4b41-a60c-52d682d8fa90;pulykamell sonka;turkey ham;111.1;18.2;1.0;3.0
d09450ad-3643-460d-99f1-887caaf4f353;csirkemell (sült);chicken breast (grilled);164.3;30.9;0.0;3.6
49c8c2a1-c441-47f7-af24-2d24a09d2e80;fehér bab (főtt);white beans (cooked);114.7;8.8;26.2;0.5
58208a7c-a6b5-4575-80c5-2877ed0c4552;csirkemell (sült);chicken breast (grilled);173.0;32.5;0.0;3.8
544130a0-1211-499b-8fdd-bf6a863fedbe;zabpehely;oat flakes;403.2;13.5;62.2;7.3
04b0a699-a621-42a2-a447-ae6f52c1dfaa;barna rizs (nyers);brown rice (raw);384.7;8.3;79.0;2.3
158fe9de-d54f-4bc5-9d3f-92d90b1fc93e;mandula;almonds;589.6;21.4;22.4;50.9
c46742fc-e773-4945-b9af-d4d8a1957302;zsírszegény túró;low-fat cottage cheese;93.1;12.4;2.9;3.8
da908662-3012-4102-b27e-b8f3fbf8dbe4;quinoa;quinoa;365.3;13.9;63.5;6.0
2ca00257-67ed-489f-b046-71ffbf2860ce;fekete bab (főtt);black beans (cooked);126.9;8.7;22.1;0.5
7e334bb2-cc03-4da9-af2e-f5e97b8c13b4;brokkoli;broccoli;34.7;3.1;7.1;0.4
7083d7cf-8ba1-4cbb-b15b-4398619ecbcc;mandula;almonds;590.2;21.4;22.4;51.0
787643d9-40d6-4992-9e66-f74880f65901;teljes kiőrlésű kenyér;wholegrain bread;245.6;9.9;40.8;4.0
0b092b9d-97e7-4f84-9cdf-ec3423a2b16f;édesburgonya;sweet potato;89.9;1.7;20.9;0.1
695f0825-b2eb-4a29-91f1-07cefac823d4;paprika;bell pepper;26.0;1.0;6.0;0.3
8dfb6bd8-fdc8-4ad4-901b-34bfecf9767d;corn flakes;corn flakes;342.5;6.7;80.6;0.4
8d0ae8f8-eba7-4694-9a38-1928ab3194c1;szőlő;grapes;68.8;0.6;18.0;0.4
cefb7d7d-07b8-4abe-9a30-ab523cc41b5f;light sajt;light cheese;216.1;25.7;3.1;10.3
07c54589-f245-4c71-8047-effc830e2c9b;paradicsom;tomato;17.7;1.0;3.9;0.2
4e7e2135-fe99-4789-b76c-4010235716f8;tojásfehérje;egg white;54.4;11.5;0.0;0.0
c45e24f9-ee95-4077-9abd-c97fcb76ee2c;tojásfehérje;egg white;53.5;11.3;0.0;0.0
5d6fc352-77bc-4761-8aeb-64489817345b;fehér rizs (nyers);white rice (raw);374.4;7.3;81.1;0.6
9bd183b5-647d-478e-9f40-87a0129d44f3;sárgarépa;carrot;42.5;1.0;10.4;0.2
3f33fc93-a9e3-406c-b0eb-0371109090f6;teljes kiőrlésű kenyér;wholegrain bread;243.9;9.9;40.5;4.0
2dd00793-3533-476b-ae79-6e7718239a2a;quinoa;quinoa;370.1;14.1;64.4;6.0
efe1d877-5a6b-4873-8936-fa44d00a96fa;alma;apple;52.5;0.3;14.1;0.2
4a0e3ce0-26f2-4ffe-a8b4-49fd2a2968a4;teljes kiőrlésű kenyér;wholegrain bread;247.5;10.0;41.1;4.0
4e5b362c-e73b-4d57-94eb-2b18dc3f13bd;burgonya;potato;80.7;2.1;17.8;0.1
bbf84a2f-8ca7-42fe-b380-031ae01179ac;corn flakes;corn flakes;348.2;6.8;81.9;0.4
d018fe2d-bf98-430b-b989-147b10ef55c0;mogyoróvaj;peanut butter;594.9;25.3;20.2;50.6
afe40cab-835f-4809-9db1-a2b37d51750a;tojás (egész);egg (whole);145.5;13.2;1.0;11.2
48e76548-94dd-49a4-accf-ea07c159d546;zsírszegény joghurt;low-fat yogurt;65.0;5.2;6.2;1.5
150ee3b6-db39-4e9f-bbab-356f6a85fe21;barna rizs (nyers);brown rice (raw);378.0;8.2;77.6;2.2
316ba078-3cf3-4af8-9346-aa44782f7035;szőlő;grapes;68.1;0.6;17.8;0.4
3c13c341-0582-4d0d-a15b-03ed09333e1d;mandula;almonds;595.8;21.6;22.6;51.4
31de9155-bacc-4fac-95ed-bd14a257fc2c;sárgarépa;carrot;41.2;1.0;10.1;0.2
e9f695e0-e02e-44b0-81cb-9fe639f68968;sárgarépa;carrot;40.1;1.0;9.8;0.2
5e77c397-ae43-4781-9f88-da7abe51690a;zabpehely;oat flakes;399.2;13.3;61.6;7.2
29ffa551-7d31-4e80-840b-5d6da7c78bf6;burgonya;potato;80.8;2.1;17.8;0.1
4b7699ff-2796-4594-9b63-5149c81988dc;tej 1.5%;milk 1.5%;48.2;3.5;5.1;1.5
10a6da7e-0cb9-4034-be2a-189c04e0dfbd;barna rizs (nyers);brown rice (raw);357.3;7.7;73.4;2.1
f83bd331-9897-4082-be16-9a1694563a1e;tojásfehérje;egg white;51.7;10.9;0.0;0.0
3d2bcb31-90a1-4596-9fdf-a4286d2eaad0;tej 1.5%;milk 1.5%;47.3;3.4;5.0;1.5
fc1f7743-25ed-424a-8cdd-9cd480487f90;uborka;cucumber;16.2;0.7;3.0;0.1
7859584a-089e-4711-85db-0937c58aa463;lazac;salmon;204.0;19.6;0.0;12.7
bb3c9e35-1d13-403a-8685-258de6bcd714;csirkemell (főtt);chicken breast (boiled);157.6;29.5;0.0;3.1
27e6805c-c307-4b52-a1bb-f6059a82ab68;fekete bab (főtt);black beans (cooked);127.9;8.7;22.3;0.5
559cf58d-426f-4738-b42b-4285b6cd7ba1;tonhal konzerv (vízben);canned tuna (in water);113.4;24.4;0.0;1.0
1a6aa7fb-09f2-4521-8994-14b36f83485e;quinoa;quinoa;381.4;14.5;66.3;6.2
686a46e4-8866-486f-898b-908e5c071b42;tojásfehérje;egg white;53.3;11.3;0.0;0.0
7e89fce1-a830-4718-8477-4b0282febb96;quinoa;quinoa;370.3;14.1;64.4;6.0
d113882d-e989-4282-8f17-4492de61b8f1;kókuszolaj;coconut oil;894.3;0.0;0.0;100.3
7f64f063-2c68-402a-9da0-2d94fb1a3fd5;pulykamell sonka;turkey ham;112.4;18.4;1.0;3.1
f9572fb8-80a2-499a-a90c-fca119f369f3;fehér kenyér;white bread;259.1;7.8;47.7;2.9
c2eba223-417f-41e7-90da-5ff893fe264e;zsírszegény túró;low-fat cottage cheese;98.5;13.1;3.0;4.0
86255c4e-0a70-46a3-af22-67d93a2ad71d;zöldség mix (fagyasztott);vegetable mix (frozen);50.3;3.0;10.1;0.5
ad287503-970e-4d64-9f10-d7511ec4220d;lencse (főtt);lentils (cooked);111.9;8.7;19.3;0.4
296ab8a7-f228-4c19-9725-945773a0cdae;natúr görög joghurt;plain greek yogurt;94.2;9.7;3.9;4.9
8915870b-c68c-4a20-88a6-92c7f6568852;édesburgonya;sweet potato;88.9;1.7;20.7;0.1
b63075ce-d6e7-4435-a82a-c110bc901c34;burgonya;potato;80.6;2.1;17.8;0.1
1850205d-804f-4876-965c-def00de6e4d6;narancs;orange;48.9;0.9;12.5;0.2
4802b902-bf07-48e9-a33a-367f23f1ae04;barna rizs (nyers);brown rice (raw);384.7;8.3;79.0;2.3
956bbfe2-85d4-4ef4-8e07-fe1550b50ad4;mandula;almonds;555.7;20.2;21.1;48.0
ddd35e38-625f-48ed-a259-15944878b87b;édesburgonya;sweet potato;89.9;1.7;20.9;0.1
373dd5dd-fb5e-4357-9849-41ff5e9535d9;müzli;muesli;374.1;9.6;57.7;6.7
8ecdbf7b-edca-4606-8fa6-10d41909feac;trappista sajt;semi-hard cheese;338.4;25.9;2.0;27.9
da015a7a-9e8e-497e-ac57-2a42d4692e3b;szőlő;grapes;70.4;0.6;18.4;0.4
3f51cc79-af33-4c0d-87a6-15d30e6768ac;trappista sajt;semi-hard cheese;334.1;25.5;2.0;27.5
2fbf3264-8698-43be-83e5-6f41c8533e3c;barna rizs (nyers);brown rice (raw);378.0;8.2;77.6;2.2
1e011617-5dff-478e-a647-f1110008d69a;édesburgonya;sweet potato;82.3;1.5;19.1;0.1
61fd6d71-e274-47a8-9ef0-0e720a03de0b;paprika;bell pepper;25.0;1.0;5.8;0.3
4436a9e6-7db9-4f5b-b60f-e892e59b1191;fehér rizs (nyers);white rice (raw);361.4;7.0;78.3;0.6
9ff9237f-dada-4c11-aef1-3c25652ef98b;sárgarépa;carrot;41.7;1.0;10.2;0.2
7d489290-6844-42ce-9327-35484cd01d72;lazac;salmon;215.9;20.8;0.0;13.5
b758f2ef-3c34-406c-bef9-ac33f7c473a3;fehér kenyér;white bread;260.1;7.8;47.9;2.9
d0488d45-ce33-43d5-8ce8-904ae942a4e3;sárgarépa;carrot;41.4;1.0;10.1;0.2
076ace5c-199c-49b6-b736-f257fcdbc1de;banán;banana;85.6;1.1;22.1;0.3
26508fa1-5436-48f7-a9f3-fc01851df098;tonhal konzerv (vízben);canned tuna (in water);115.9;25.0;0.0;1.0
459314d6-b172-4454-b22f-507a2ffc6ba8;barna rizs (nyers);brown rice (raw);381.0;8.2;78.3;2.3
4ba811b2-2bb9-48cc-9cb0-e53a690a84f4;uborka;cucumber;16.0;0.7;3.0;0.1
5a510096-099b-487e-a0ae-917a1cdc55f2;teljes kiőrlésű kenyér;wholegrain bread;244.0;9.9;40.5;4.0
c675033b-f6ca-4d45-9611-cf8c00388bff;quinoa;quinoa;372.8;14.2;64.8;6.1
ce5cccc5-3e79-4bf3-b37c-065eb1bfc83f;narancs;orange;49.1;0.9;12.5;0.2
22751b76-dbea-4079-99d4-ff41e4840c80;kókuszolaj;coconut oil;849.2;0.0;0.0;95.2
b336dcc9-5bd0-4a03-a52e-86a78b846a9e;zsírszegény joghurt;low-fat yogurt;63.9;5.1;6.1;1.5
af52e0e2-2f49-46fa-9fb6-22bacbc6fa17;fekete bab (főtt);black beans (cooked);130.1;8.9;22.7;0.5
eb2e5fa5-867a-4686-919e-8280c9985bc1;trappista sajt;semi-hard cheese;333.3;25.5;2.0;27.4
51460769-c326-4e79-924b-811e82a30527;lencse (főtt);lentils (cooked);117.1;9.1;20.2;0.4
fc301555-99a9-47ca-b273-5c28454c4684;teljes kiőrlésű kenyér;wholegrain bread;243.9;9.9;40.5;4.0
094d5f95-3eb8-4ea1-b718-af866bd4e8cb;pulykamell sonka;turkey ham;111.6;18.3;1.0;3.0
4c93de53-8786-4a92-bc7f-8aa5452c4186;burgonya;potato;78.6;2.0;17.4;0.1
847ca529-3565-47e2-ae60-56739707e0b8;csicseriborsó (főtt);chickpeas (cooked);164.4;9.0;27.1;2.6
e9ea7775-0841-4a31-82cf-9b39a5df15b5;lazac;salmon;206.2;19.8;0.0;12.9
9483a22b-2102-4428-9cac-72488569afec;lazac;salmon;206.6;19.9;0.0;12.9
d1823387-b5f0-40e2-9711-747ba12ab818;teljes kiőrlésű kenyér;wholegrain bread;259.2;10.5;43.0;4.2
907c0eb6-06c2-41c6-bb8f-203a8b4707fb;corn flakes;corn flakes;361.5;7.1;85.0;0.4
2336d3b6-4fbf-494f-8cc9-86be75435271;light sajt;light cheese;213.5;25.4;3.0;10.2
f03513b6-1ac2-4afb-a26e-4555827e3189;alma;apple;51.4;0.3;13.8;0.2
48f35406-d5c7-489c-bc76-d06f95c970b8;karfiol;cauliflower;24.3;1.9;4.9;0.3
564f4d7d-f260-4bec-adf7-eac9ca789663;burgonya;potato;78.2;2.0;17.3;0.1
0e9ea4b6-6132-4616-a44d-74c4d8dc2d53;natúr görög joghurt;plain greek yogurt;100.9;10.4;4.2;5.2
f04352f5-43e0-4740-b178-4a8115dc3d97;fehér bab (főtt);white beans (cooked);113.6;8.7;25.9;0.5
3b384594-3635-4576-be43-f31913e190ae;tojás (egész);egg (whole);143.9;13.1;1.0;11.1
324b8344-528c-42f2-acaf-d578c675f70e;mogyoróvaj;peanut butter;565.5;24.0;19.2;48.1
c87dad6f-5a70-47af-9cdc-cd985e48de69;protein por (tejsavó);whey protein powder;402.8;80.6;8.1;6.0
0143d4f2-028d-406f-9659-bb6b2b9578a6;dió;walnuts;658.7;15.1;14.1;65.5
7c86c95b-c2ac-47c1-869f-186f91fea885;olívaolaj;olive oil;861.6;0.0;0.0;97.5
63c5cf7c-0453-4458-80a1-4d353135ad64;karfiol;cauliflower;25.1;2.0;5.0;0.3
f25a8019-68a8-453c-b52d-4db2348008e7;alma;apple;51.9;0.3;14.0;0.2
b63ab59e-9175-4ce9-984e-f79df9400013;paradicsom;tomato;18.4;1.0;4.1;0.2
01bc2e3e-23ba-4a4b-a81f-946085be9d37;kókuszolaj;coconut oil;853.8;0.0;0.0;95.7
fba57b41-5695-4e37-85f7-906f160f0cb7;fehér kenyér;white bread;259.2;7.8;47.8;2.9
62ea38f1-278f-4838-aab1-2300e4f62265;bulgur;bulgur;354.2;12.4;75.6;1.3
008aa4e7-261b-435d-9463-8a5cac53a136;natúr görög joghurt;plain greek yogurt;94.2;9.7;3.9;4.9
273d7ed0-db4f-4904-8c51-cb4945a2742a;paprika;bell pepper;24.8;1.0;5.7;0.3
1aa7b92d-cff1-4e69-a1b1-076710a42877;csicseriborsó (főtt);chickpeas (cooked);158.4;8.7;26.1;2.5
199e844e-b255-4fd2-9205-f55fd93e2002;brokkoli;broccoli;33.6;3.0;6.9;0.4
ca8805f2-ad07-40d8-86cf-094c5cd99842;narancs;orange;45.5;0.9;11.6;0.2
6c1d6d2f-39be-4c6f-9dd7-77b6b3b2531d;müzli;muesli;393.7;10.1;60.7;7.1
a3bbd091-9ad8-4406-927d-3be9ca5cb398;bulgur;bulgur;343.4;12.1;73.3;1.3
6de458e1-35a7-415b-b03e-631df0342498;fekete bab (főtt);black beans (cooked);134.5;9.2;23.4;0.5
7c81b145-dc0f-4951-8758-764036cbb900;barna rizs (nyers);brown rice (raw);385.8;8.3;79.2;2.3
10b2ef17-a70b-4c4d-abb3-7028738ada40;brokkoli;broccoli;34.5;3.0;7.1;0.4
1bcc80c1-23b0-4b56-ac54-aa9bc703e2c2;csicseriborsó (főtt);chickpeas (cooked);161.7;8.9;26.6;2.6
398837a3-a316-4444-a5e6-005ea1a332d0;paradicsom;tomato;17.1;1.0;3.8;0.2
04d24063-ab06-4f60-96cf-18dc8fec2bca;natúr görög joghurt;plain greek yogurt;98.9;10.2;4.1;5.1
9f15d8fa-7cdd-4e92-99e4-8a7def036175;kókuszolaj;coconut oil;871.2;0.0;0.0;97.7
6dc185fc-9bdd-444a-8a12-fe4ba24a6c17;tészta (nyers);pasta (raw);366.5;12.8;74.1;1.5
0f70de02-5086-4e83-a1b2-f7120b0b2c24;bulgur;bulgur;343.8;12.1;73.4;1.3
c8e1ba01-66cc-41c9-ac8b-17e27ce32a97;natúr görög joghurt;plain greek yogurt;94.3;9.7;3.9;4.9
fd659200-0c6c-474a-96b0-f571fdf0cb45;marhahús (sovány);lean beef;212.7;26.3;0.0;10.1
53be3211-072c-4b93-b9b1-766d11d5a600;barna rizs (nyers);brown rice (raw);381.7;8.3;78.4;2.3
4f59ab17-d62d-401a-ac91-fc0a04bd7970;fehér kenyér;white bread;262.3;7.9;48.3;3.0
af481a03-ff65-4511-938a-1087a8cfe8c3;banán;banana;88.1;1.1;22.8;0.3
86f18fd6-9f7e-4952-8a70-8ba69782ef98;bulgur;bulgur;355.7;12.5;75.9;1.4
cee961fe-6f47-498e-9446-7b9099e839ee;kókuszolaj;coconut oil;892.6;0.0;0.0;100.1
61854bbd-a798-4b89-a8c5-3082e86069d1;fehér rizs (nyers);white rice (raw);375.9;7.3;81.4;0.6
b41edcd0-38d3-4a88-9b86-fe0c4f0d2741;lazac;salmon;202.5;19.5;0.0;12.7
9b4442e7-983a-47cb-a54d-41a10df11dae;protein por (tejsavó);whey protein powder;413.4;82.7;8.3;6.2
0d67976a-898e-4be0-987d-262bf8d315f1;sárgarépa;carrot;41.9;1.0;10.2;0.2
3e3b2f18-fb7c-4c62-82e5-4092ec43e8cc;zsírszegény joghurt;low-fat yogurt;61.7;4.9;5.9;1.5
79d29c37-f934-48dc-91eb-a4f61216b8d1;édesburgonya;sweet potato;89.9;1.7;20.9;0.1
4354b0fe-4b0a-4f92-9ff7-9567baac5f9e;bulgur;bulgur;332.3;11.7;70.9;1.3
9c298b18-aec1-4c69-bd06-27c6576cb3e1;mandula;almonds;593.4;21.5;22.5;51.2
5cef1b19-c2cf-4191-8978-fdc4f76f7f5f;csirkemell (sült);chicken breast (grilled);168.7;31.7;0.0;3.7
